,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,BSW Configuration Engineer (Embedded C/C++) IRC204860,careerjet.pl/jobad/pl25fb26bc4b2dd315b3249641d4326e23,Hitachi,"Wrocław, dolnośląskie",,Description:   In GlobalLogic we are looking for technology game changers to lead one of our OEM customers' into a fundamental transformation within the automotive industry. Are yo…,,,python,2023-12-02
1,Assistant professor (Specialist for probabilistic safety assessment of nuclear power plants),careerjet.pl/jobad/pl83df40e43f48cbe4d9a60073b14cdd27,,"Otwock, mazowieckie",,"Offer Description   The National Center for Nuclear Research (NCBJ) is one of the bigest research institutes in Poland. Wide research activity takes place at NCBJ, especially basic…",,,python,2023-12-02
2,Software Engineer (temporary req),careerjet.pl/jobad/pld03e5205a2e1779da303d7cf0b84ea28,Darwin Rhodes,"Warszawa, mazowieckie",,"How will you fulfil your potential?   Translate business and technical requirements into well-engineered business applications based on object oriented design. Build global, high-c…",,,python,2023-12-02
3,Data Engineer,careerjet.pl/jobad/pl893b283c1a0331c35af292b100179d56,Umicore,"Nysa, opolskie",,"About Umicore   Reducing harmful vehicle emissions. Giving new life to used metals. Powering the cars of the future. As a global materials and technology group, we apply our specia…",,,python,2023-12-02
4,specjalista ds. modelowania danych (segment: bankowo\u015B\u0107 korporacyjna),careerjet.pl/jobad/plc8c3ff82e41809fcc66d072313a31212,Santander,Polska,,"Zadania Superbohatera:  zmiana danych w informacje, a informacji w działania biznesowe  zarządzanie danymi, rozwijanie narzędzia raportowego i automatyzowanie procesów  uczestnicze…",,,python,2023-12-02
5,SENIOR DATA ENGINEER/ST. SPECJALISTA DS. INFORMACJI RYZYKA KREDYTOWEGO,careerjet.pl/jobad/pl71481abb0112116c310ae1d45866754f,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    prowadzisz migrację analityki ryzyka z rozwiązań opartych o platformę SAS na chmurę GCP,  zajmujesz się szeroko pojętą inżynierią danych w środowis…",,,python,2023-12-02
6,SPECJALISTA / EKSPERT DS. ANALIZ I MODELOWANIA CYBERZAGROŻEŃ (DS. ANALIZY MALWARE),careerjet.pl/jobad/ple935f01f5af40baad482621ab6a6c8f0,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    analizujesz złośliwe oprogramowanie,  przygotowujesz raporty dotyczące złośliwego oprogramowania,  wykrywasz i badasz potencjalne zagrożenia oraz t…",,,python,2023-12-02
7,EKSPERT DS. MODELOWANIA PREDYKCYJNEGO,careerjet.pl/jobad/pl8d6568b1052a741c4ee759071fb23053,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    budujesz modele NLP - deep learning/transformery/large language models za pomocą PyTorch/TensorFlow,  tworzysz modele ML/AI [problemy klasyfikacyjn…",,,python,2023-12-02
8,Senior Embedded Software Engineer,careerjet.pl/jobad/pl7b8452155f4fa386027a495a44bf79ba,Volvo Cars,"Kraków, małopolskie",,Can you engineer a brighter tomorrow?   Reality has made it clear that the actions we take in the next few years will significantly impact our future. Embracing the need for change…,,,python,2023-12-02
9,Senior Cyber Incident Response Engineer (CSIRT),careerjet.pl/jobad/pl776d6af67c4c98c56758d8d3ae1ca8ab,Atos,"Bydgoszcz, kujawsko-pomorskie",,"Eviden is an Atos Group business with an annual revenue of circa € 5 billion and a global leader in data-driven, trusted and sustainable digital transformation. As a next generatio…",,,python,2023-12-02
10,Database Administrator,careerjet.pl/jobad/pl3d2247911f59387501060ff51920f934,Grid Dynamics,Polska,,"Description   Position at Grid Dynamics   We are building a team to help our client with management of customer-facing, production MySQL and Cassandra data platforms. In our team, …",,,python,2023-12-02
11,Senior DevOps Engineer,careerjet.pl/jobad/ple0adcf375da504da0ab808e580f8ce50,Atos,Polska,,"Eviden is an Atos Group business with an annual revenue of circa € 5 billion and a global leader in data-driven, trusted and sustainable digital transformation. As a next generatio…",,,python,2023-12-02
12,"Software Engineer III, Desktop Foundation",careerjet.pl/jobad/pldab634adb931fe19f4378639ae7d7fab,Box,"Warszawa, mazowieckie",,Job Description:   WHAT IS BOX?   Box is the market leader for Cloud Content Management. Our mission is to power how the world works together. Box is partnering with enterprise org…,,,python,2023-12-02
13,STAŻ W ZESPOLE WSPARCIA ANALITYKI BIG DATA RYZYKA KREDYTOWEGO,careerjet.pl/jobad/ple9624f638e1bbcf3ef7073a16fd56d6b,PKO Bank Polski,"Warszawa, mazowieckie",,"U nas w banku masz na dzień dobry:    umowę zlecenie na co najmniej 3 miesiące - bo od czegoś trzeba zacząć,  elastyczny czas pracy - bo rozumiemy, że nauka jest dla Ciebie ważna, …",,,python,2023-12-02
14,MSCA Ph.D. position: Optical probing and mapping of ocular tissue and cell biomechanics using interferometry,careerjet.pl/jobad/pl9987dec52da180bb44771ea8faa72754,,"Toruń, kujawsko-pomorskie",,"Offer Description   Join the forefront of biomedical research with BE-LIGHT, an MSCA doctoral network with the aim of improving biomedical diagnosis through light-based technologie…",,,python,2023-12-02
15,Azure Data Factory Developer,careerjet.pl/jobad/pl1d47464b5c5219cde71bdd5428688236,Atos,"Warszawa, mazowieckie",,"Eviden is an Atos Group business with an annual revenue of circa € 5 billion and a global leader in data-driven, trusted and sustainable digital transformation. As a next generatio…",,,python,2023-12-02
16,INŻYNIER IT DS. DEVOPS,careerjet.pl/jobad/pl079d1eaccbcd4703507894c04618b952,PKO Bank Polski,Polska,,"Na co dzień w naszym zespole:    jako Inżynier DevOps bierzesz udział w projektach i inicjatywach realizowanych w banku,  utrzymujesz i rozwijasz narzędzia wykorzystywane w obszarz…",,,python,2023-12-02
17,SPECJALISTA MLOps,careerjet.pl/jobad/pl11ba19072ec0cae42372d4dc2875182d,PKO Bank Polski,"Warszawa, mazowieckie",,Na co dzień w naszym zespole:    wypracowujesz standardy pracy z bankową Platformą MLOps oraz promowaniem dobrych praktyk w zakresie realizacji projektów Data Science na Platformie…,,,python,2023-12-02
18,Senior Data Engineer,careerjet.pl/jobad/pl4a0219f1536e6fd8c04a0cd5ff76a91e,Luxoft,Polska,,Our client is an American multinational consumer goods corporation. They start the strategic project with the goal to digitize their existing mission critical business process rela…,,,python,2023-12-02
19,PROGRAMISTA JAVA,careerjet.pl/jobad/pl49323e2c08d68289647ac831ded757e1,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    implementujesz nowe lub modyfikujesz istniejące aplikacje/serwisy,  tworzysz testy jednostkowe i integracyjne dla budowanych aplikacji/serwisów,  d…",,,python,2023-12-02
20,Lead IT Developer,careerjet.pl/jobad/plf4a8d07a7afb33654b890c6368255359,DSV,"Warszawa, mazowieckie",,Job Req Number: 74804  Time Type:   .Lead Developer to join our digital journey   The Digital Enterprise Transformation department in DSV Global IT is looking for a Lead Developer …,,,python,2023-12-02
21,Platform Engineer with OpenShift (Aviation),careerjet.pl/jobad/pla6931f4c643a5c6a8d440bc36fc4de48,Atos,"Wrocław, dolnośląskie",,"Eviden is an Atos Group business with an annual revenue of circa € 5 billion and a global leader in data-driven, trusted and sustainable digital transformation. As a next generatio…",,,python,2023-12-02
22,EKSPERT DS. ANALIZ I RAPORTÓW,careerjet.pl/jobad/pl4712e6334267b131e182ccf7a5d7ee60,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole czeka Cię:    przygotowywanie raportów cyklicznych, dashboardów i raportów ad hoc,  optymalizacja i automatyzacja procesów raportowych,  udział w rozwo…",,,python,2023-12-02
23,Expert DevOps Engineer in Financial Crime Unit,careerjet.pl/jobad/pl6ee53c7b4235cfbee55479449bbfeb02,PwC,"Gdańsk, pomorskie",,Job Description & Summary Job Description Summary  The FCU Technology team at PwC Polska includes over 100 IT specialists. The financial services industry operates in a challenging…,,,python,2023-12-02
24,Embedded Software Engineer,careerjet.pl/jobad/pl1c9943cf380db0f2d7d3e9e6d58aaa15,Volvo Cars,"Kraków, małopolskie",,Can you engineer a brighter tomorrow?   Reality has made it clear that the actions we take in the next few years will significantly impact our future. Embracing the need for change…,,,python,2023-12-02
25,RPA DEVELOPER,careerjet.pl/jobad/plf8d5130bc9a7e61b54ea806141b727b2,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    projektujesz, tworzysz oraz uruchamiasz rozwiązania z wykorzystanie platform low/no-code & AI/ML,  rozwijasz procesy i aplikacje z wykorzystaniem l…",,,python,2023-12-02
26,DATA SCIENTIST W RYZYKU KREDYTOWYM KLIENTA KORPORACYJNEGO,careerjet.pl/jobad/plb4997f1f7faaa6c8bad0728730b47b5f,PKO Bank Polski,"Warszawa, mazowieckie",,Na co dzień w naszym zespole:    budujesz modele statystyczne dla klientów korporacyjnych (PD/LGD/CCF)  zajmujesz się analizą i wykorzystaniem baz transakcyjnych i produktowych ban…,,,python,2023-12-02
27,Automation Specialist,careerjet.pl/jobad/pl8c2fdf91d0f9b0705db069873734284b,Electrolux,"Kraków, małopolskie",,Automation Specialist   Position ID: req46103   Sector: Group Staff & Functions   Functional Area: EMS/EPS/Continuous Improvement   Location: Cracow   Number of Openings: 1   Repor…,,,python,2023-12-02
28,EKSPERT DS. ANALIZ ( DATA SCIENTIST),careerjet.pl/jobad/pld230945b1e1b9a48c812db48afa9414f,PKO Bank Polski,"Warszawa, mazowieckie",,"Na co dzień w naszym zespole:    analizujemy naprawdę duże zbiory danych, na temat aktywności ponad 10 mln klientów PKO BP,  pracujemy z szerokim zestawem narzędzi analitycznych i …",,,python,2023-12-02
