,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior Frontend Developer @ Knowde,careerjet.pl/jobad/pl7d0493d88818c9958039f95bf37d3a30,Knowde,"Białystok, podlaskie",,SKILLS WE’RE LOOKING FOR:  At least 5 years of professional experience in an FE-related role  Strong proficiency in react.js - must have  High level of proficiency in JavaScript (E…,,,python,2023-11-27
1,Full Stack Software Engineer,careerjet.pl/jobad/pl2669bb9c6cfef61800a77bfff6453c03,Equiniti,"Kraków, małopolskie",,Management Level E   Job Description   Our young and rapidly growing team at EQ is looking to fill out a vacant position of Full Stack Software Engineer. You are going to work toge…,,,python,2023-11-27
2,Frontend Developer - React (Middle+/Senior),careerjet.pl/jobad/plafd85bafc6a73aafd09ac888448be712,Fyst,"Warszawa, mazowieckie",,⚡What You'll Do   Creating new functionality  Fixing bugs  Refactoring and optimization of current applications  Code reviews  Participation in planning the architecture of new app…,,,python,2023-11-27
3,NET Developer,careerjet.pl/jobad/pla31941610922bde090d3fda1f431824e,William Hill,"Kraków, małopolskie",,"Job description   We are seeking a highly skilled and versatile Fullstack .NET Engineer with expertise in Docker, AWS, and TypeScript to join our dynamic development team. The proj…",,,python,2023-11-27
4,Senior Full Stack Engineer,careerjet.pl/jobad/pl5bdae8cecbfb3de0de99aa58849939ef,Manpower,"Katowice, śląskie",,"For our Client - an American telecommunications company, in which laboratory many important technologies were created and for which employees received the Nobel Prize (in Poland, t…",,,python,2023-11-27
5,Full stack Developer,careerjet.pl/jobad/ple0a5d22ec2b00dcd9ca9c289dbe7057c,Hays,"Katowice, śląskie",,"Full stack Developer  Katowice  NR REF.: 1178654   Your new company   For our Client, new IT Software Company with location in Katowice, we are currently looking for Full stack Dev…",,,python,2023-11-27
6,Senior Frontend Developer (Angular),careerjet.pl/jobad/pl40af788cc35d449f56ed25c15b7b3636,Hays,"Wrocław, dolnośląskie",,"Senior Frontend Developer (Angular)  Wroclaw  NR REF.: 1181757   Your new company   For our client, a software company that provides health solutions, we are looking for a Senior F…",,,python,2023-11-27
7,Frontend Developer,careerjet.pl/jobad/pl86c75949d6850221a99d72035ab29879,Hays,"Katowice, śląskie",,"Frontend Developer  Katowice  NR REF.: 1178641   Your new company   Company is an acclaimed global player in cloud services for retail, which is recognised and awarded for ability …",,,python,2023-11-27
8,Senior .NET Software Engineer to ABAX Poland,careerjet.pl/jobad/ple25744a58959fa64538f2b915440c41b,ABAX,"Gdańsk, pomorskie",,Would you like to be part of one of the most influential contributors in the future of telematics? ABAX Poland is strengthening our Platform Team and we are now looking for a Senio…,,,python,2023-11-27
9,Lead PHP Developer @ RemoDevs,careerjet.pl/jobad/pl0d9485c7f294696fb3e11f3bd0fde4b7,RemoDevs,Polska,,"5+ years’ experience working inside a business with large-scale systems, handling high    amounts of traffic. * 3+ years leading and managing a development team.  Thorough knowledg…",,,python,2023-11-27
10,Senior Backend Developer - PHP area,careerjet.pl/jobad/plb1c76f6811122fd7340e3dbcbb007700,TeamQuest,"Łódź, łódzkie",,Our client is a leader in contact center applications and business communication services provided in a cloud computing model. Innovative solutions for companies for over 14 years …,,,python,2023-11-27
