,title,link,company,location,description,date_added,skills
0,Software Development Engineer in Test,careerjet.pl/jobad/plbaec24941a296374129f0a069cb19df4,,,,,
1,Software Development Engineer in Test,careerjet.pl/jobad/pl0aebd21ce203844c2227dd9499ab9d9b,,,,,
2,Software Development Engineer in Test,careerjet.pl/jobad/plc9f07a5262f4157450ec5fe06e3eaf0b,,,,,
3,Software Development Engineer in Test,careerjet.pl/jobad/pl8ca043620f35a2cb25fd68afbdcdb185,,,,,
4,Software Development Engineer in Test,careerjet.pl/jobad/pl6063d8bd71361d945b2d89f9e200ad54,,,,,
5,Software Development Engineer in Test,careerjet.pl/jobad/pl80c9c090b32e76fe8bad4cacc463c33b,,,,,
6,Software Development Engineer in Test,careerjet.pl/jobad/pl58b301c623df37119cd8503cc54660ec,,,,,
7,Software Development Engineer in Test,careerjet.pl/jobad/pl95e3bd3537e0ef7a0ef97f32ce5c9a42,,,,,
8,Software Development Engineer in Test,careerjet.pl/jobad/pl481f0197185e28815e7f3d81bb643f9f,,,,,
9,Software Development Engineer in Test,careerjet.pl/jobad/pl00500c6c5b061b82f3270f61229a31b5,,,,,
10,Software Development Engineer in Test,careerjet.pl/jobad/pl310f7c7c561c4f4c5485ff0800f3f95b,,,,,
11,Software Development Engineer in Test,careerjet.pl/jobad/pl230d91ed6dcba09a4a5920b6d3ffc6e5,,,,,
12,Software Development Engineer in Test,careerjet.pl/jobad/plba0be9a52b5e48a43e80565899011ee0,,,,,
13,Software Development Engineer in Test,careerjet.pl/jobad/pl448089f1b0c09152d57e65be50ffcd15,,,,,
14,Software Development Engineer in Test,careerjet.pl/jobad/pl8df811b83548fb43a47c06ef40cff09d,,,,,
15,Software Development Engineer in Test,careerjet.pl/jobad/ple063e88d2aeda20396394d67d49517fe,,,,,
16,Software Development Engineer in Test,careerjet.pl/jobad/pl03ce5d8c308c93a1571873483eca8d9d,,,,,
17,Software Development Engineer in Test,careerjet.pl/jobad/pl9a3b82a0bd878ea570e1ca12ee11690d,,,,,
18,Software Development Engineer in Test,careerjet.pl/jobad/pl3718138bf433c7f99176757039bb1894,,,,,
19,Software Development Engineer in Test,careerjet.pl/jobad/pl4834888dce95063bef648bf1ead7b20c,,,,,
20,Python Developer,careerjet.pl/jobad/pl9b15c864f210746065d179364e563758,,,,,
21,Python Developer,careerjet.pl/jobad/pl63d7f32c5f18fcfa25fba37c26454a04,,,,,
22,Python Developer,careerjet.pl/jobad/pla1ebb090ece90aed9b8999d4c119e9af,,,,,
23,Python Developer,careerjet.pl/jobad/pl839d97a8af499d16f2580fcd342ac1aa,,,,,
24,Python Developer,careerjet.pl/jobad/pl0b02312d011b2a795a3b311bad3e8f21,,,,,
25,Python Developer,careerjet.pl/jobad/pla5a353fa9f639e1ee1e679e3659f6bf2,,,,,
26,Python Developer,careerjet.pl/jobad/plb82e6f4680ae20575a9437b36045acbc,,,,,
27,Python Developer,careerjet.pl/jobad/plfc2dd808f3632da2e1de752ea3656c9a,,,,,
28,Python Developer,careerjet.pl/jobad/plce9ab228ad8df23e58298b16a9666f6b,,,,,
29,Python Developer,careerjet.pl/jobad/pl50aa61f267732b036368d9194643c611,,,,,
30,Python Developer,careerjet.pl/jobad/pl41603b774ff80784b8a0133a3e53ae10,,,,,
31,Python Developer,careerjet.pl/jobad/pla53e551528a1814eb889da94a3354691,,,,,
