,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,NLP / Machine learning Engineer,careerjet.pl/jobad/pl2f934ef77d2a6c13dfb8747dd20468ef,,mazowieckie,,"Dla międzynarodowej firmy technologicznej, specjalizującej się w obszarze Augmented Reality, poszukujemy Specjalisty na stanowisko: AI Developer'a.   Firma ma ponad 20 lat doświadc…",,,python,2023-12-02
1,Senior Software Engineer (4 days / week availble),careerjet.pl/jobad/plfeaa9936ab55496a1c22f779cade494c,Houst,"Kraków, małopolskie",,"What is Houst? 🌍   🏡 Houst is the leading global short-let property management service, established in London in 2015. Today, we expertly manage over 2,000 properties across 19 d…",,,python,2023-12-02
2,API Developer with Python,careerjet.pl/jobad/pl14a463defe25099f2f3f0abf76ad6c61,TST Poland,"Warszawa, mazowieckie",,"Demonstrated ability to participate in a global software engineering team while working closely with product management, quality assurance, and business analysts.   At least 3-5 ye…",,,python,2023-12-02
3,Senior Frontend Developer - React @ Vatix,careerjet.pl/jobad/plcfa71a2c56d64976c3eefdbd2a524b9a,Vatix,"Warszawa, mazowieckie",,"Proven experience as a Senior Frontend Developer, with a strong portfolio showcasing your skills in React and React Native.  You’ve built projects with some of our technology stack…",,,python,2023-12-02
4,Fullstack Developer (Python+React) @ Avenga,careerjet.pl/jobad/plcf01a0069d1230cac067ac32e9c47374,Avenga,"Warszawa, mazowieckie",,"Minimum 3 lata doświadczenia w programowaniu w języku Python.  Minimum 3 lata doświadczenia w pracy z użyciem java script, react, redux, gotowych komponentów i szablonów react, css…",,,python,2023-12-02
5,Senior Python Developer,careerjet.pl/jobad/pld861cecf11e48cad04a84f6a7d63a075,Grafton Recruitment,"Wrocław, dolnośląskie",,5-16-73092   For one of our client we’re looking for a Python Developer to join the team based in Wrocław.   Responsibilities:  - development and maintenance of applications in the…,,,python,2023-12-02
6,Backend Engineer (remote-friendly within Poland),careerjet.pl/jobad/pl6b0ed28d3a3cdd9d0feff65be0dbe967,Docplanner,"Warszawa, mazowieckie",,"Opis firmy   MyDr to zespół pasjonatów nowych technologii, którzy od podstaw stworzyli i nadal rozwijają zaawansowane programy do prowadzenia Elektronicznej Dokumentacji Medycznej …",,,python,2023-12-02
7,Python Tech Lead (AWS),careerjet.pl/jobad/plbd90f8948802e1a6306e0311b73b968a,Experis,"Wrocław, dolnośląskie",,Your key responsibilities:   Deliver quality solutions for Europe West and America clients using Python and other modern technologies  Leading team of few Developers  Collaborate w…,,,python,2023-12-02
8,Full Stack Developer,careerjet.pl/jobad/pl418df056d973aae4f5f5115b76eee218,FutureSight Studios LTD,"Katowice, śląskie",,"FutureSight Team is looking for a new member!   About us   FutureSight is a design studio and digital marketing agency that is part of a rapidly growing digital group, collaboratin…",,,python,2023-12-02
9,Senior Python Developer,careerjet.pl/jobad/pl64534b34850be47e247de60ff26e198e,Grafton Recruitment,"Wrocław, dolnośląskie",,Treść oferty   For one of our client we're looking for a Python Developer to join the team based in Wrocław.   Responsibilities:   development and maintenance of applications in th…,,,python,2023-12-02
10,Back-End Developer,careerjet.pl/jobad/ple812349392747e7668c7972e58e252ef,FutureSight Studios LTD,"Katowice, śląskie",,"FutureSight Team is looking for a new member!   About us   FutureSight is a design studio and digital marketing agency that is part of a fast-growing digital group, collaborating w…",,,python,2023-12-02
11,Principal Engineer,careerjet.pl/jobad/ple024624de54a7ab6cd00faaa5b662639,GlaxoSmithKline,"Poznań, wielkopolskie",,"GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of bill…",,,python,2023-12-02
