,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Django Python dev with Ethical Hacking experience,django-python-dev-with-ethical-hacking-experience-horalix-cairo,Horalix,,9977.0 - 15964.0,,2023-12-02,Python,django,2023-12-02
1,Strong Junior Python Developer,strong-junior-python-developer-starnavi-remote,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
2,Strong Junior Python Developer,strong-junior-python-developer-starnavi-lower-silesian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
3,Strong Junior Python Developer,strong-junior-python-developer-starnavi-kuyavian-pomeranian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
4,Strong Junior Python Developer,strong-junior-python-developer-starnavi-lodz,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
5,Strong Junior Python Developer,strong-junior-python-developer-starnavi-lublin,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
6,Strong Junior Python Developer,strong-junior-python-developer-starnavi-lubusz,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
7,Strong Junior Python Developer,strong-junior-python-developer-starnavi-lesser-poland,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
8,Strong Junior Python Developer,strong-junior-python-developer-starnavi-masovian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
9,Strong Junior Python Developer,strong-junior-python-developer-starnavi-opole,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
10,Strong Junior Python Developer,strong-junior-python-developer-starnavi-subcarpathian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
11,Strong Junior Python Developer,strong-junior-python-developer-starnavi-podlaskie,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
12,Strong Junior Python Developer,strong-junior-python-developer-starnavi-pomeranian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
13,Strong Junior Python Developer,strong-junior-python-developer-starnavi-silesian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
14,Strong Junior Python Developer,strong-junior-python-developer-starnavi-holy-cross,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
15,Strong Junior Python Developer,strong-junior-python-developer-starnavi-warmian-masurian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
16,Strong Junior Python Developer,strong-junior-python-developer-starnavi-greater-poland,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
17,Strong Junior Python Developer,strong-junior-python-developer-starnavi-west-pomeranian,Starnavi,,5986.0 - 11973.0,,2023-12-01,Python,django,2023-12-02
18,Senior Backend Developer_6310,senior-backend-developer-6310-idbc-creative-solutions-kft--budapest,IDBC Creative Solutions Kft.,,19217.0 - 27385.0,,2023-11-10,Node.js,django,2023-12-02
19,Fullstack Developer (Python+React),fullstack-developer-python-react-avenga-warszawa-1,Avenga,,20160.0 - 23520.0,,2023-11-28,Python,django,2023-12-02
20,Python Engineer,python-engineer-adaptiq-remote,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
21,Python Engineer,python-engineer-adaptiq-lower-silesian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
22,Python Engineer,python-engineer-adaptiq-kuyavian-pomeranian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
23,Python Engineer,python-engineer-adaptiq-lodz,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
24,Python Engineer,python-engineer-adaptiq-lublin,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
25,Python Engineer,python-engineer-adaptiq-lubusz,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
26,Python Engineer,python-engineer-adaptiq-lesser-poland,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
27,Python Engineer,python-engineer-adaptiq-masovian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
28,Python Engineer,python-engineer-adaptiq-opole,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
29,Python Engineer,python-engineer-adaptiq-subcarpathian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
30,Python Engineer,python-engineer-adaptiq-podlaskie,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
31,Python Engineer,python-engineer-adaptiq-pomeranian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
32,Python Engineer,python-engineer-adaptiq-silesian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
33,Python Engineer,python-engineer-adaptiq-holy-cross,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
34,Python Engineer,python-engineer-adaptiq-warmian-masurian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
35,Python Engineer,python-engineer-adaptiq-greater-poland,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
36,Python Engineer,python-engineer-adaptiq-west-pomeranian,Adaptiq,,25143.0 - 25941.0,,2023-11-30,Python,django,2023-12-02
37,Python Engineer,python-engineer-msd-prague-1,MSD,,12509.0 - 17870.0,,2023-10-14,Python,django,2023-12-02
38,Python Engineer,python-engineer-msd-prague,MSD,,12509.0 - 17870.0,,2023-10-14,Python,django,2023-12-02
39,Medior Python Backend Developer,medior-python-backend-developer-nix-tech-kft--budapest,NIX Tech Kft.,,9151.0 - 13726.0,,2023-11-20,Python,django,2023-12-02
40,Junior Python Developer,junior-python-developer-nix-tech-kft--budapest-1,NIX Tech Kft.,,4575.0 - 6863.0,,2023-11-15,Python,django,2023-12-02
41,Remote Fullstack (JS/Python) Developer,remote-fullstack-js-python-developer-codepole,Codepole,,15000.0 - 25000.0,,2023-11-30,JavaScript,django,2023-12-02
42,Remote Fullstack (JS/Python) Developer,remote-fullstack-js-python-developer-codepole-warszawa,Codepole,,15000.0 - 25000.0,,2023-11-30,JavaScript,django,2023-12-02
43,Remote Fullstack (JS/Python) Developer,remote-fullstack-js-python-developer-codepole-katowice,Codepole,,15000.0 - 25000.0,,2023-11-30,JavaScript,django,2023-12-02
