,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-krakow,oferta,1003008676",,,160–170 zł netto (+ VAT) / godz.,,,"['Python', 'AWS', 'DynamoDB']",python,2023-12-07
1,Python Developer,"https://www.pracuj.pl/praca/python-developer-poznan,oferta,1003024201",,,12 000–25 000 zł netto (+ VAT) / mies.,"The patient is a platform that keeps hair on our heads short and beards neatly trimmed. We bet you heard about them already. Sounds cool, right?",,"['Python', 'AWS', 'Pytest']",python,2023-12-07
2,Backend Engineer,"https://www.pracuj.pl/praca/backend-engineer-krakow-krupnicza-5,oferta,1002977108",,,12 400–25 900 zł netto (+ VAT) / mies.,,,"['Ruby on Rails', 'Python', 'Kubernetes', 'AWS', 'Docker', 'SQL', 'Ruby']",python,2023-12-07
3,Python Developer (Banking),"https://www.pracuj.pl/praca/python-developer-banking-warszawa-aleje-jerozolimskie-134,oferta,1002996560",,,,"Projekt realizowany jest u klienta z branży finansowej. Głównym jego celem jest migracja procesów biznesowych na architekturę mikroserwisową., , Stack technologiczny w projekcie:, , • Python: SQLAlchemy, FastAPI, Sanic;, • Java Script: React,...",,"['Python', 'SQL', 'FastAPI', 'Sanic', 'mikroserwisy']",python,2023-12-07
4,CAE software Engineer,"https://www.pracuj.pl/praca/cae-software-engineer-gliwice-uslugowa-20,oferta,1002976549",,,,,,"['Python', 'Django', 'JavaScript', 'React.js', 'SQL', 'PostgreSQL', 'MySQL', 'Git']",python,2023-12-07
5,Full-stack Python Developer – Infrastructure Developer,"https://www.pracuj.pl/praca/full-stack-python-developer-infrastructure-developer-warszawa,oferta,1003002465",,,14 700–21 840 zł / mies. (zal. od umowy),"As a Full-stack Python Developer, you will be working with a team of highly skilled and experienced engineers for our Client, an innovation leader among Polish financial institutions, providing a full range of modern financial services for...",,"['Python', 'JavaScript', 'React.js', 'Redux', 'CSS', 'Git', 'SQL', 'Gerrit', 'Jenkins', 'Sentry', 'Btibucket', 'Grafana', 'GitHub', 'Linux', 'Django']",python,2023-12-07
6,Senior Python Developer (with DevOps skills),"https://www.pracuj.pl/praca/senior-python-developer-with-devops-skills-warszawa-przejazd-26,oferta,1003022378",,,20 000–26 000 zł netto (+ VAT) / mies.,"We’re looking for a Senior Python Developer to work on the world’s fastest and most advanced Data and Analytics platform based on GPU-accelerated relational database, which is over 1,000 times faster than competitive technology. Our platform also...",,"['Python', 'Docker', 'GitLab', 'Linux', 'Bash']",python,2023-12-07
7,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-gliwice-kaczyniec-9,oferta,1002970313",,,150 zł netto (+ VAT) / godz.,"Our client is embarking on a groundbreaking project to develop a platform that enables consistent, continuous, and highly automated marking of financial curves. This platform will empower traders to create and share curves regularly throughout the...",,"['Python', 'AWS']",python,2023-12-07
8,Junior Python Developer,"https://www.pracuj.pl/praca/junior-python-developer-gliwice-kaczyniec-9,oferta,1002970314",,,150 zł netto (+ VAT) / godz.,"Our client is embarking on a groundbreaking project to develop a platform that enables consistent, continuous, and highly automated marking of financial curves. This platform will empower traders to create and share curves regularly throughout the...",,"['Python', 'AWS']",python,2023-12-07
9,,,,,,"As our worker, you will join a community of over 700 Java Developers at Sii., Our specialists are involved in building a portal for finding and tracking parcels in real-time. We are also involved in developing a global digital identity validation...",,"['Java', 'Spring Framework', 'Hibernate', 'Oracle', 'PostgreSQL', 'MongoDB', 'Jira', 'Confluence', 'Git', 'Maven', 'Jenkins']",python,2023-12-07
10,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-czerska-8-10,oferta,1003010867",,,20 000–25 000 zł netto (+ VAT) / mies.,"You’ll be diving deep into our existing systems, working primarily with Python and Django. Your expertise will play a pivotal role in building and fine-tuning large-scale integrations with third-party systems. You won't just be writing code;...",,"['Python', 'Django']",python,2023-12-07
11,Python Developer - DevOps,"https://www.pracuj.pl/praca/python-developer-devops-warszawa,oferta,1003005717",,,23 520–27 720 zł netto (+ VAT) / mies.,"We are looking for a Python Developer to strengthen the team working on data transformation pipeline development. The project concerns the transformation of clinical data - identifying the most valuable data, processing metadata to reach...",,"['Python', 'Terraform', 'GitHub', 'Jenkins']",python,2023-12-07
12,Python Engineer,"https://www.pracuj.pl/praca/python-engineer-krakow,oferta,1002999186",,,18 900–23 100 zł / mies. (zal. od umowy),"As a Python Engineer, you will be working for our client, a leading financial institution in the Markets Securities & Services Tech sector. You will be part of a dynamic team which shape the future of financial systems, and risk management....",,"['Python', 'MS SQL']",python,2023-12-07
13,Tech Lead Python Engineer,"https://www.pracuj.pl/praca/tech-lead-python-engineer-krakow-zablocie-43a,oferta,1002984885",,,17 000–28 000 zł netto (+ VAT) / mies.,"We are looking for a dedicated and skilled Lead Python Engineer to join our client’s dynamic team. In this role, you will be instrumental in developing and maintaining the core backend infrastructure that powers their innovative products and...",,"['Python', 'Docker', 'Kubernetes']",python,2023-12-07
14,Python Developer,"https://www.pracuj.pl/praca/python-developer-wroclaw-wagonowa-2d,oferta,1003001396",,,16 000–28 000 zł / mies. (zal. od umowy),Internal IT Project Medplanic => Roster Planning Software designed by anesthesiologists in Switzerland for hospitals. The system provides flexible multi-weekly availability patterns with unlimited number of preferences set for every single day in...,,['Python'],python,2023-12-07
15,DevOps Engineer,"https://www.pracuj.pl/praca/devops-engineer-wroclaw-jana-dlugosza-60,oferta,1003007030",,,16 800–21 000 zł netto (+ VAT) / mies.,,,"['CI/CD', 'Jenkins', 'Objective Groovy', 'GitLab', 'Artifactory', 'Harbor', 'Jira', 'K8s', 'Kibana', 'Java', 'Linux', 'SOA']",python,2023-12-07
16,Python Test Developer,"https://www.pracuj.pl/praca/python-test-developer-lodz-piotrkowska-157,oferta,1003011468",,,,"We are looking for Candidate who want to join the largest Test Services Center team as a Test Automation Engineer with Python in Sii and support our Client in working on next generation Analytics and Data Platform., Join us and take on new...",,"['Python', 'GitLab']",python,2023-12-07
17,Python Developer Freelancer,"https://www.pracuj.pl/praca/python-developer-freelancer-katowice-porcelanowa-23,oferta,1003020284",,,75–115 zł netto (+ VAT) / godz.,The Delivery Centre at LEOCODE is the place where your services can meet the need for collaboration. If you are a freelancer or just starting out in this model then we can offer you an interesting solution.,,['Python'],python,2023-12-07
18,Python Developer with Cloud,"https://www.pracuj.pl/praca/python-developer-with-cloud-lodz-wersalska-6,oferta,1002979867",,,,"Within DLM, we are searching for a person responsible for development of new features and maintenance for existing bank products and applications., , The Python Developer implements and maintains software based on business requirements or...",,"['Python', 'Google Cloud Platform', 'Jira']",python,2023-12-07
19,Full Stack Python Developer,"https://www.pracuj.pl/praca/full-stack-python-developer-lodz,oferta,1002979673",,,12 000–22 000 zł netto (+ VAT) / mies.,,,"['Python', 'SQL', 'React.js', 'PostgreSQL']",python,2023-12-07
20,Programista Python,"https://www.pracuj.pl/praca/programista-python-poznan-plac-andersa-3,oferta,1003019222",,,,,,"['Python', 'SQL', 'PostgreSQL', 'MongoDB', 'RabbitMQ']",python,2023-12-07
21,,,,,100–120 zł / godz. (zal. od umowy),"Szukamy doświadczonego Senior Python Engineera, który dołączy do naszego zespołu w celu rozwijania i utrzymywania naszych istniejących systemów opartych na Pythonie oraz projektowania i wdrażania nowych rozwiązań",,"['Python', 'Flask', 'Django', 'PostgreSQL', 'MySQL', 'AWS', 'Docker', 'Kubernetes']",python,2023-12-07
22,Senior Python Engineer with React,"https://www.pracuj.pl/praca/senior-python-engineer-with-react-poznan-paderewskiego-6,oferta,1002982456",,,,"At BCF we believe that people are innovative by passion. Our portfolio consists of projects in automotive, fintech, e-commerce, and entertainment areas - no doubt, you'll find something nice for yourself ;)",,"['Python', 'JavaScript', 'React', 'Redux', 'webpack', 'Django', 'Flask']",python,2023-12-07
23,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa-zajecza-15,oferta,1003005353",,,110 zł netto (+ VAT) / godz.,"Our client is a renowned company, a leader in their industry, specializing in innovative solutions. They are involved in the production and distribution of high-quality products. The company is known for its commitment to technological advancement...",,['Python'],python,2023-12-07
24,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1002987872",,,17 000–23 000 zł / mies. (zal. od umowy),Projekt długoterminowy.,,"['Python', 'SQL', 'TypeScript', 'Flask', 'Angular', 'Git']",python,2023-12-07
25,Senior Full Stack Python & Vue.js Developer,"https://www.pracuj.pl/praca/senior-full-stack-python-vue-js-developer-krakow,oferta,1002981614",,,,"Poszukujemy Senior Full Stack Python & Vue.js Developera, który dołączy do naszego zespołu pracującego nad platformą SaaS CRM/ERP dla sektora entertainment na rynek USA.",,"['Vue.js', 'JavaScript', 'Python', 'Django', 'AWS', 'Heroku', 'PostgreSQL', 'GitHub', 'Jira', 'Confluence']",python,2023-12-07
26,Senior Backend Python & Java Developer,"https://www.pracuj.pl/praca/senior-backend-python-java-developer-krakow,oferta,1002981604",,,,"Poszukujemy Senior Backend Python & Java Developera, który dołączy do naszego zespołu, pracującego nad platformą SaaS CRM/ERP dla sektora entertainment na rynek USA.",,"['Python', 'Java', 'Django', 'Git', 'SQL', 'PostgreSQL']",python,2023-12-07
27,Senior FullStack PHP & JS & Vue Developer,"https://www.pracuj.pl/praca/senior-fullstack-php-js-vue-developer-krakow,oferta,1002981603",,,,"Poszukujemy Senior FullStack PHP & JS & Vue Developera, który dołączy do naszego zespołu, pracującego nad platformą SaaS CRM/ERP dla sektora entertainment na rynek USA.",,"['PHP', 'JavaScript', 'Phalcon', 'Symfony', 'Twig', 'Cake', 'Vue.js', 'Git', 'SQL', 'Postgres', 'Python', 'Django']",python,2023-12-07
28,Python Developer,"https://www.pracuj.pl/praca/python-developer-gdansk-aleja-grunwaldzka-415,oferta,1002990623",,,8 000–16 000 zł brutto / mies.,"In relation to one of our projects, we are currently seeking a Python Developer to join our team based in Gdańsk, collaborating with Frankfurt. You will be responsible for development and maintenance of strategic integration system in Lufthansa...",,"['Python', 'Apache Camel', 'DB', 'Java']",python,2023-12-07
29,Senior/Expert Python Developer,"https://www.pracuj.pl/praca/senior-expert-python-developer-gdansk-aleja-grunwaldzka-415,oferta,1002990622",,,10 000–25 000 zł brutto / mies.,"In relation to one of our projects, we are currently seeking a Senior/Expert Python Developer to join our team based in Gdańsk, collaborating with Frankfurt. You will be responsible for development and maintenance of strategic integration system...",,"['Python', 'CI/CD', 'Apache Camel', 'DB', 'Java', 'Git', 'Jenkins']",python,2023-12-07
30,Senior Python Developer / Tech Lead,"https://www.pracuj.pl/praca/senior-python-developer-tech-lead-warszawa-grzybowska-87,oferta,1003004432",,,,,,"['Python', 'CSS', 'HTML']",python,2023-12-07
31,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa-jana-kazimierza-3,oferta,1002980883",,,,"By joining our team you will be responsible for the development and maintenance of applications in the field of data security., , You will be able to develop your competences in the field of Python technology and platforms such as AWS or...",,"['Python', 'Flask', 'SQL']",python,2023-12-07
32,Senior Python Developer - PySpark,"https://www.pracuj.pl/praca/senior-python-developer-pyspark-wroclaw-plac-solny-14a,oferta,1002980048",,,,"Firma Bright Coders' Factory to dynamicznie rozwijająca się firma specjalizująca się w analizie danych i rozwiązywaniu problemów za pomocą zaawansowanych technologii. Aktualnie poszukujemy doświadczonego Senior Python Developera, który będzie...",,['Python'],python,2023-12-07
33,,,,,13 400–27 000 zł / mies. (zal. od umowy),"Not looking for a job but want to have a plan b? Join Boldare talent pool process! If you pass it successfully and an open position appears, you will be the first person to whom we make an offer., , By joining our talent pool, you will reach the...",,"['Django', 'SQL']",python,2023-12-07
34,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-ludwika-rydygiera-8,oferta,1003016427",,,22 000–34 000 zł / mies. (zal. od umowy),"Szukamy doświadczonego Mid Python Software Engineera, który dołączy do naszego zespołu programistów. Osoba zatrudniona na tym stanowisku będzie odpowiedzialna za projektowanie i implementację skalowalnych, wydajnych i niezawodnych systemów w...",,"['Python', 'Docker', 'Kubernetes', 'GitLab']",python,2023-12-07
35,Mid Python Developer,"https://www.pracuj.pl/praca/mid-python-developer-warszawa,oferta,1003012640",,,17 000–22 000 zł / mies. (zal. od umowy),"Cześć!, , Jest to projekt greenfieldowy dotyczący rozwoju pilotażowej wersji nowego narzędzia. Co możemy Ci zaoferować? Najnowocześniejsze wersje wszystkich technologii, udział w kluczowym projekcie dla firmy oraz z uwagi na rodzaj projektu - duże...",,"['Python', 'PostgreSQL']",python,2023-12-07
36,Python Developer,"https://www.pracuj.pl/praca/python-developer-krakow-juliusza-lea-114,oferta,1002995608",,,,,,"['Python', 'SQL', 'PostgreSQL']",python,2023-12-07
37,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-encyklopedyczna-2a,oferta,1003012070",,,20 000–23 500 zł netto (+ VAT) / mies.,"Projekt wspierający badania kliniczne i niekliniczne., , Branża: Medyczno-farmaceutyczna, , Język komunikacji w projekcie: polski/angielski",,"['Python', 'FastAPI', 'Celery', 'pytest', 'SQL Alchemy', 'Boto3', 'Keycloak', 'AWS', 'Docker', 'Kubernetes', 'Helm']",python,2023-12-07
38,Python Developer,"https://www.pracuj.pl/praca/python-developer-wroclaw-powstancow-slaskich-15,oferta,1002965639",,,8 000–15 000 zł / mies. (zal. od umowy),"Jesteśmy zespołem programistów zajmujących się rozwojem oraz utrzymaniem sklepów internetowych. Na co dzień opracowujemy rozwiązania wspomagające pracę pozostałych działów firmy, za pomocą pisanych przez nas integracji z zagranicznymi platformami,...",,"['Python', 'REST', 'SQL', 'Git', 'Docker', 'SOLID']",python,2023-12-07
39,Python Developer for Cloud AI Platform,"https://www.pracuj.pl/praca/python-developer-for-cloud-ai-platform-krakow-aleja-generala-tadeusza-bora-komorowskiego-25,oferta,1002967072",,,,"We are the cloud team specializing in big scale, cloud native storage, developing technologies for Samsung AI Platform, provided as a company-wide solutions. We make possible and shape future developments of AI that impact people all over the world.",,"['Python', 'Golang', 'Linux', 'Docker', 'Kubernetes', 'ArgoCD', 'GitHub Actions', 'Ceph', 'WekaFS', 'micro services', 'distributed systems']",python,2023-12-07
40,Senior Python Developer for Container Platform,"https://www.pracuj.pl/praca/senior-python-developer-for-container-platform-krakow-aleja-generala-tadeusza-bora-komorowskiego-25,oferta,1002967067",,,,"You will participate in an international project to develop a solution to manage MongoDB clusters on Kubernetes under Percona Monitoring and Management system, tailored to meet the demanding needs of containerized network functions at the core of...",,"['Python 3', 'Go', 'MongoDB', 'Percona Monitoring and Management', 'Ansible', 'Helm', 'Bash', 'Kubernetes', 'Docker', 'OpenShift', 'Github Actions']",python,2023-12-07
41,Perl/Python Developer,"https://www.pracuj.pl/praca/perl-python-developer-krakow,oferta,1002984368",,,,,,"['Perl', 'Python']",python,2023-12-07
42,,,,,40–60 zł / godz. (zal. od umowy),"Poszukujemy do naszego zespołu osoby pełnej energii, która zechce dzielić się nią ze swoimi uczniami i będzie realizować nasza misję – zarażać pasją do programowania i nowych technologii dzieciaki na całym świecie 🚀, , Poznaj nas:...",,[],python,2023-12-07
43,Python Developer,"https://www.pracuj.pl/praca/python-developer-warszawa,oferta,1002971564",,,,"We are looking for a passionate, talented, and innovative Python Engineer with a good understanding of machine learning techniques and AI algorithms to help build industry-leading AI/ML enabled applications for world-class clients. As a Python...",,"['Python', 'Flask', 'FastAPI', 'GCP', 'AWS', 'Django', 'Git']",python,2023-12-07
44,,,,,,,,"['Python', 'AWS', 'CSS', 'HTML', 'Bootstrap', 'Microservices']",python,2023-12-07
45,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-warszawa-aleje-jerozolimskie-136,oferta,1002977882",,,,This amazing opportunity offers a once-in-a-lifetime chance to be a part of the rapid expansion and growth of our fintech business. We are people-light and technology-heavy and your role is to work as part of the IPF Digital Hub Data Team. We are...,,"['Python', 'MySQL', 'Jira', 'Confluence', 'TeamCity', 'Docker', 'Electricflow', 'Unix']",python,2023-12-07
46,Senior Python Developer,"https://www.pracuj.pl/praca/senior-python-developer-wroclaw,oferta,1003004209",,,,,,"['Python', 'Django', 'SQL']",python,2023-12-07
47,Regular Python Developer,"https://www.pracuj.pl/praca/regular-python-developer-warszawa,oferta,1002986516",,,100–125 zł netto (+ VAT) / godz.,,,[],python,2023-12-07
0,Django Python dev with Ethical Hacking experience,django-python-dev-with-ethical-hacking-experience-horalix-cairo,Horalix,,10049.0 - 16079.0,,2023-12-02,Python,django,2023-12-07
1,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-remote,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
2,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-lower-silesian,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
3,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-kuyavian-pomeranian,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
4,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-lodz,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
5,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-lublin,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
6,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-lubusz,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
7,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-lesser-poland,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
8,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-masovian,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
9,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-opole,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
10,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-subcarpathian,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
11,Senior Full Stack Engineer (Python/Django),senior-full-stack-engineer-python-django-mwdn-podlaskie,MWDN,,16884.0 - 23637.0,,2023-12-05,,django,2023-12-07
