,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Fullstack Developer (PHP + React),"https://www.pracuj.pl/praca/fullstack-developer-php-%2b-react-warszawa-bialy-kamien-2,oferta,1002990508",,,16 000–23 000 zł netto (+ VAT) / mies.,"Poszukujemy Fullstack Developerów - osób doświadczonych w rozwoju aplikacji webowych i nie bojących się wyzwań., , Jako dział IT w Telemedi odpowiadamy za działanie szeregu aplikacji i serwisów obsługujących świadczenie usług e-zdrowia dla...",,"['PHP', 'Symfony', 'React.js', 'Git']",python,2023-12-02
1,Fullstack Developer (Java + Angular),"https://www.pracuj.pl/praca/fullstack-developer-java-%2b-angular-warszawa,oferta,1002986862",,,22 000–27 000 zł netto (+ VAT) / mies.,,,"['Java', 'Spring Framework', 'Maven', 'JavaScript', 'TypeScript', 'HTML', 'CSS', 'Angular']",python,2023-12-02
2,Lead Fullstack Developer (Java + Angular),"https://www.pracuj.pl/praca/lead-fullstack-developer-java-%2b-angular-warszawa,oferta,1002986866",,,28 000–31 500 zł netto (+ VAT) / mies.,,,"['Java', 'Spring Framework', 'Maven', 'HTML', 'CSS', 'TypeScript', 'JavaScript', 'Angular', 'Swagger']",python,2023-12-02
3,Fullstack Developer Java (+Angular),"https://www.pracuj.pl/praca/fullstack-developer-java-%2bangular-wroclaw-wyspa-slodowa-7,oferta,1002986857",,,20 000–24 000 zł / mies. (zal. od umowy),,,"['Java', 'Spring Boot', 'SQL', 'Angular', 'Mockito', 'OracleDB', 'Flyway', 'Docker', 'Git']",python,2023-12-02
4,Fullstack Developer (Java+Angular),"https://www.pracuj.pl/praca/fullstack-developer-java%2bangular-warszawa,oferta,1003009197",,,23 000–26 500 zł netto (+ VAT) / mies.,Do projektu z branży ubezpieczeniowej poszukujemy osoby na stanowisko Fullstack Developera (Java+Angular). Praca hybrydowa (1 dzień w tygodniu w biurze w Warszawie),,"['Java', 'Angular', 'HTML', 'CSS', 'Kafka', 'Spring Boot', 'Spring Framework', 'PostgreSQL', 'Hibernate', 'REST', 'Maven']",python,2023-12-02
5,Fullstack Engineer,"https://www.pracuj.pl/praca/fullstack-engineer-krakow,oferta,1003011578",,,19 950–24 150 zł / mies. (zal. od umowy),"As a Fullstack Engineer, you will be working for our client, a prominent financial institution in the EMEA region, contributing to the modernization of their core banking system and external applications. The primary project objectives include...",,"['Java', 'Spring Boot', 'Spring Framework', 'SQL', 'Oracle']",python,2023-12-02
6,Senior Fullstack Developer,"https://www.pracuj.pl/praca/senior-fullstack-developer-warszawa-grzybowska-49,oferta,1003009188",,,24 000–29 000 zł netto (+ VAT) / mies.,"Cześć, z tej strony ithouse! Jesteśmy firmą liczącą ponad 40 osób. Specjalizujemy się w 3 obszarach:, tworzymy aplikacje mobilne i webowe na zamówienie klientów (najczęściej tworzymy coś od zera lub dodajemy w pełni nowe funkcjonalności), a...",,"['Java', 'Spring Framework', 'JavaScript', 'HTML', 'CSS', 'Angular', 'Docker', 'Kubernetes']",python,2023-12-02
7,Frontend Angular Developer with German,"https://www.pracuj.pl/praca/frontend-angular-developer-with-german-poznan-krysiewicza-9,oferta,1002986609",,,18 000–26 800 zł netto (+ VAT) / mies.,"For our Client - German software company, we are looking for a qualified Angular Developer (Mid or Senior) with good knowledge of German and English to join our IT team.",,"['Angular', 'TypeScript', 'C#', '.NET', 'SQL']",python,2023-12-02
8,,,,,16 800–26 000 zł netto (+ VAT) / mies.,"This is a special opportunity for a Senior Backend Developer who not only brings strong Java and/or Kotlin expertise but also has practical experience with the Vaadin framework. Initially, you'll be instrumental in developing a SaaS-like...",,"['Kotlin', 'Java', 'PostgreSQL', 'MongoDB', 'NoSQL', 'Kubernetes', 'Google Cloud Platform', 'Rancher', 'Spring', 'Quarkus', 'Micronaut', 'Vaadin']",python,2023-12-02
9,,,,,16 800–26 000 zł netto (+ VAT) / mies.,"We are looking for Senior Kotlin Backend Developers for Stepwise, Warsaw-based Software House, who would like to join an engineering-oriented company. Currently for one of our clients from the USA we are looking for a well-skilled developer who...",,"['Kotlin', 'PostgreSQL', 'MongoDB', 'NoSQL', 'Kubernetes', 'Docker', 'Google Cloud Platform', 'Rancher', 'Spring', 'Quarkus', 'Micronaut', 'GCP', 'Java']",python,2023-12-02
10,Programista Fullstack .NET,"https://www.pracuj.pl/praca/programista-fullstack-net-warszawa-domaniewska-39a,oferta,1002975166",,,140 zł netto (+ VAT) / godz.,"Branża: bankowość, Lokalizacja: model hybrydowy - 2 dni w miesiącu z biura w Warszawie/Łodzi, Stawka: do140 PLN/H, Współpraca typu: B2B, Start: ASAP (do uzgodnienia)",,"['.NET', 'Angular', 'C#', 'Docker', 'Microsoft SQL Server', 'Git', 'Ansible', 'TeamCity']",python,2023-12-02
11,Fullstack React Developer with Node.js.,"https://www.pracuj.pl/praca/fullstack-react-developer-with-node-js-katowice-wroclawska-54,oferta,1002986422",,,,"Are you someone with unparalleled analytical skills, a passion for technology, and an understanding of business? Do you wish to work in an environment that is dynamic and constantly evolving? If so, our company, being at the intersection of...",,"['React.js', 'Node.js', 'Redux', 'RxJS', 'AWS', 'Redis', 'Git', 'Docker']",python,2023-12-02
12,Fullstack PHP/Angular developer,"https://www.pracuj.pl/praca/fullstack-php-angular-developer-nowy-sacz-zawiszy-czarnego-7,oferta,1002964275",,,8 000–12 000 zł / mies. (zal. od umowy),,,"['PHP', 'MySQL', 'JavaScript', 'jQuery', 'HTML', 'CSS', 'SVN']",python,2023-12-02
13,Frontend Developer (FirstSpirit),"https://www.pracuj.pl/praca/frontend-developer-firstspirit-lodz-ogrodowa-8,oferta,1003004104",,,,"In Cross Channel Services we are delivering cross-functional services for implementations in online banking platform of Commerzbank to ensure stable and highly available online banking. In your role as a Frontend Developer, you will be a part of...",,"['HTML', 'XML', 'JSP', 'TypeScript', 'CSS', 'JavaScript', 'Json', 'Java']",python,2023-12-02
14,Frontend Developer (Angular),"https://www.pracuj.pl/praca/frontend-developer-angular-warszawa,oferta,1003008953",,,26 000–32 000 zł netto (+ VAT) / mies.,"Poszukujemy doświadczonego Frontend Developera z Angularem do branży paliwowo – energetycznej. Projekt dotyczy dostarczania rozwiązań IT w obszarze szeroko pojętej elektryczności. Główne obszary: ładowanie samochodów elektrycznych na stacjach,...",,"['Angular', 'TypeScript', 'HTML', 'CSS']",python,2023-12-02
15,Software Engineer (Front-End - Mobile),"https://www.pracuj.pl/praca/software-engineer-front-end-mobile-warszawa,oferta,1002970287",,,28 000–32 000 zł netto (+ VAT) / mies.,"Project for: the UK’s premier provider of banking as a service (Baas), which enables businesses to embed financial services products such as payments, deposits, point-of-sale credit and merchant cash advances directly into their customer journeys...",,"['JavaScript', 'React.js', 'React Native', 'Android', 'iOS']",python,2023-12-02
16,"Fullstack IoT Developer (Java, Angular)","https://www.pracuj.pl/praca/fullstack-iot-developer-java-angular-katowice-wroclawska-54,oferta,1002992544",,,13 000–22 000 zł brutto / mies.,,,"['Java', 'Angular', 'Spring Boot', 'PostgreSQL', 'Oracle']",python,2023-12-02
17,Architekt IT,"https://www.pracuj.pl/praca/architekt-it-warszawa-aleje-jerozolimskie-125,oferta,1003000321",,,240–270 zł netto (+ VAT) / godz.,"Miejsce pracy: 100% zdalna, Start: ASAP (max. 1 miesiąc wypowiedzenia), Forma współpracy: B2B z ITFS, Wynagrodzenie: 240-270 zł/h netto + VAT, Projekt: bankowość",,"['REST', 'Microservices']",python,2023-12-02
