,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior Fullstack Developer,senior-fullstack-developer-link-group-remote-3,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
1,Senior Fullstack Developer,senior-fullstack-developer-link-group-gdynia,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
2,Senior Fullstack Developer,senior-fullstack-developer-link-group-krakow,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
3,Senior Fullstack Developer,senior-fullstack-developer-link-group-polkowice,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
4,Senior Fullstack Developer,senior-fullstack-developer-link-group-wroclaw,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
5,Senior Fullstack Developer,senior-fullstack-developer-link-group-gdansk,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
6,Senior Fullstack Developer,senior-fullstack-developer-link-group-warszawa-2,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
7,Senior Fullstack Developer,senior-fullstack-developer-link-group-kuyavian-pomeranian,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
8,Senior Fullstack Developer,senior-fullstack-developer-link-group-lodz,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
9,Senior Fullstack Developer,senior-fullstack-developer-link-group-lublin,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
10,Senior Fullstack Developer,senior-fullstack-developer-link-group-lubusz,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
11,Senior Fullstack Developer,senior-fullstack-developer-link-group-opole,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
12,Senior Fullstack Developer,senior-fullstack-developer-link-group-subcarpathian,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
13,Senior Fullstack Developer,senior-fullstack-developer-link-group-podlaskie,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
14,Senior Fullstack Developer,senior-fullstack-developer-link-group-silesian,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
15,Senior Fullstack Developer,senior-fullstack-developer-link-group-holy-cross,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
16,Senior Fullstack Developer,senior-fullstack-developer-link-group-warmian-masurian,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
17,Senior Fullstack Developer,senior-fullstack-developer-link-group-greater-poland,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
18,Senior Fullstack Developer,senior-fullstack-developer-link-group-west-pomeranian,Link Group,,22680.0 - 26880.0,,2023-11-29,Rust,fullstack,2023-12-02
19,Junior Ruby Developer,junior-ruby-developer-devire-gdynia,Devire sp. z o.o.,,12000.0 - 12000.0,,2023-10-27,,fullstack,2023-12-02
20,Senior Fullstack Developer,senior-fullstack-developer-astek-polska-warszawa,ASTEK Polska,,21000.0 - 29400.0,,2023-11-14,Java,fullstack,2023-12-02
21,Software Engineer Xamarin/.NET MAUI,software-engineer-xamarin-net-maui-solvti-wroclaw,Solvti sp. z o.o.,,12000.0 - 19000.0,,2023-11-27,Xamarin/.NET MAUI,fullstack,2023-12-02
22,Software Engineer .NET,software-engineer-net-solvti-wroclaw,Solvti sp. z o.o.,,12000.0 - 19000.0,,2023-11-27,.NET,fullstack,2023-12-02
23,Fullstack Developer,fullstack-developer-knowit-remote-1,Knowit,,12600.0 - 16800.0,,2023-11-29,.NET,fullstack,2023-12-02
24,Fullstack Developer,fullstack-developer-knowit-lodz-1,Knowit,,12600.0 - 16800.0,,2023-11-29,.NET,fullstack,2023-12-02
25,Fullstack Developer,fullstack-developer-knowit-warszawa-1,Knowit,,12600.0 - 16800.0,,2023-11-29,.NET,fullstack,2023-12-02
26,Fullstack Developer,fullstack-developer-knowit-bydgoszcz-1,Knowit,,12600.0 - 16800.0,,2023-11-29,.NET,fullstack,2023-12-02
