,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior TypeScript Developer,"https://www.pracuj.pl/praca/senior-typescript-developer-warszawa,oferta,1003017678",,,,As a Senior Software Engineer you will work closely with our several technical teams by developing innovative as well as distinguished mobile ad formats which are shown several hundred times each second on mobile devices across several countries....,,"['TypeScript', 'JavaScript', 'React.js', 'mobX', 'Node.js']",python,2023-12-07
1,Frontend Developer with Angular,"https://www.pracuj.pl/praca/frontend-developer-with-angular-wroclaw-pilsudskiego-43,oferta,1002980570",,,12 600–16 800 zł netto (+ VAT) / mies.,,,"['JavaScript', 'TypeScript', 'Angular', 'HTML', 'CSS', 'Git']",python,2023-12-07
2,Solution Delivery Design Section Head,"https://www.pracuj.pl/praca/solution-delivery-design-section-head-saudi-arabia,oferta,10317052",,,55 000–70 000 zł / mies. (zal. od umowy),"As a Solution Delivery Design Section Head, you will be working for our client, a prominent financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. You will become responsible for defining creative...",,"['HTML', 'CSS']",python,2023-12-07
3,IT System Engineer,"https://www.pracuj.pl/praca/it-system-engineer-katowice,oferta,1002986258",,,,,,"['Active Directory', 'Java', 'JavaScript', 'PowerShell']",python,2023-12-07
4,RPA Specialist,"https://www.pracuj.pl/praca/rpa-specialist-saudi-arabia,oferta,10317039",,,55 000–70 000 zł / mies. (zal. od umowy),"As an RPA Specialist, you will be working for our client, a prominent financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. You will become responsible for the creation, design, development, and...",,"['SQL', 'HTML', 'JavaScript']",python,2023-12-07
5,Data Science Specialist,"https://www.pracuj.pl/praca/data-science-specialist-saudi-arabia,oferta,10317026",,,55 000–70 000 zł / mies. (zal. od umowy),"As a Data Science Specialist, you will be working for our client, a prominent financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. You will become responsible for adapting at using large data sets to...",,"['Python', 'R', 'SAS', 'C', 'Java', 'JavaScript', 'Spark', 'Google Analytics', 'Hadoop', 'MySQL']",python,2023-12-07
6,PHP Developer,"https://www.pracuj.pl/praca/php-developer-wroclaw,oferta,1002994734",,,16 000–24 000 zł / mies. (zal. od umowy),"Jako firma produktowa koncentrujemy się na rozwoju oprogramowania open source Oro Suite dla firm wielokanałowych:, , OroPlatform - platforma aplikacji biznesowych, która pomaga firmom przyspieszyć rozwój niestandardowych aplikacji biznesowych....",,"['PHP', 'Symfony', 'SQL', 'MySQL', 'PHPUnit', 'HTML', 'CSS', 'JavaScript']",python,2023-12-07
7,,,,,8 000–12 000 zł netto (+ VAT) / mies.,"Szukamy kandydata na stanowisko Site Reliability Engineer (IT Support), osoby odpowiedzialnej, dyspozycyjnej i zainteresowanej pracą zmianową, która tak jak my rozwija swoje umiejętności, aby realizować coraz ciekawsze i bardziej wymagające...",,"['Jira', 'Zabbix', 'Grafana', 'MongoDB', 'PostgreSQL', 'AWS', 'Microsoft Azure', 'Firebase', 'GCP']",python,2023-12-07
8,Senior .NET & React Developer,"https://www.pracuj.pl/praca/senior-net-react-developer-poznan-ignacego-paderewskiego-6,oferta,1002977914",,,100–140 zł netto (+ VAT) / mies.,"Join our team and be the backbone of our digital presence. We are looking for a Senior .Net & React Native & React Developer who will support us in our mission to develop our E2E AI product., , Our client is a fast-growing start-up based in Munich...",,"['AWS', 'React.js', '.NET', 'C#', 'Kubernetes', 'SQL']",python,2023-12-07
9,Lead Software Engineer,"https://www.pracuj.pl/praca/lead-software-engineer-krakow-kapelanka-42a,oferta,1003024418",,,,For Wholesale IT Global Payments Solutions – Global Disbursements we are looking for an experienced Technical Java Lead to be responsible for providing solutions for technical issues which may affect solution delivery. They will facilitate...,,"['Spring Boot', 'Git', 'GitHub', 'Jenkins', 'Maven', 'RTC', 'G3', 'Nexus', 'Jira', 'Confluence']",python,2023-12-07
10,Full Stack Engineer (HTP Wholesale IT),"https://www.pracuj.pl/praca/full-stack-engineer-htp-wholesale-it-krakow-kapelanka-42a,oferta,1003024415",,,,"Full Stack Engineer (Java focused) at regional EMEA IT Payments team will develop, maintain and support back-end payments related services and interfaces processing SEPA payments, SWIFT messages and internal accounting entries or will be building...",,"['Java', 'Git', 'GitHub', 'Jenkins', 'Maven', 'RTC', 'G3', 'Nexus']",python,2023-12-07
11,Senior UX Developer,"https://www.pracuj.pl/praca/senior-ux-developer-katowice,oferta,1002997441",,,,,,[],python,2023-12-07
12,Front-end Developer – Vue.js,"https://www.pracuj.pl/praca/front-end-developer-vue-js-poznan,oferta,1003021926",,,,"Inicjatywa, demokracja i wspólne szukanie rozwiązań - to wartości, które pozwalają nam budować stabilny i nierotujący zespół IT. Działamy zwinnie, choć nie nazywamy tego w oparciu o konkretną metodologię - wykuwamy własną drogę, którą ciągle...",,"['HTML', 'CSS', 'JavaScript', 'TypeScript', 'Vue.js', 'JsonSchema', 'Git']",python,2023-12-07
13,Software Implementation Consultant (Advanced SQL),"https://www.pracuj.pl/praca/software-implementation-consultant-advanced-sql-krakow-kapelanka-42b,oferta,1002977877",,,,"Become part of DELMIA Apriso Services Team as a Software Expert. You will be primarily responsible for the development, configuration and delivery of solutions for international manufacturing companies focusing on European market. You will work...",,"['Microsoft SQL Server', 'C#', 'HTML', 'CSS', 'JavaScript']",python,2023-12-07
14,.NET Cloud Developer,"https://www.pracuj.pl/praca/net-cloud-developer-krakow-kapelanka-42b,oferta,1002977870",,,,"Become a part of DELMIA R&D Team. As a .NET Cloud Developer you will work with people with 20 years of experience in .NET, learn from them but also share knowledge and at the same time create unique, innovative cloud solutions used by the largest...",,"['C#', '.NET', 'HTML', 'JavaScript', 'CSS', 'SQL', 'Git']",python,2023-12-07
15,IBM API Expert,"https://www.pracuj.pl/praca/ibm-api-expert-saudi-arabia,oferta,10316939",,,55 000–70 000 zł / mies. (zal. od umowy),"As an IBM API Connect programmer, you will be working for our client, a renowned financial institution in Saudi Arabia. This position requires a partial relocation to Saudi Arabia. The client is focused on enhancing its API management capabilities...",,"['Node.js', 'JavaScript']",python,2023-12-07
16,Mid Developer,"https://www.pracuj.pl/praca/mid-developer-warszawa-poloneza-93,oferta,1002994651",,,,"• Realizacje zadań związanych z rozwojem i utrzymaniem systemu AMODIT, • Wspólne z zespołem dbanie o jakość dostarczanych rozwiązań",,"['C#', '.NET', 'SQL', 'Microsoft SQL Server', 'MySQL', 'HTML', 'CSS', 'React.js', 'JavaScript', 'jQuery', 'Handlebars', 'Bootstrap', 'Visual Studio', 'Azure DevOps', 'Git']",python,2023-12-07
17,Junior Developer,"https://www.pracuj.pl/praca/junior-developer-warszawa-poloneza-93,oferta,1002994645",,,,"• Realizacje zadań związanych z rozwojem i utrzymaniem systemu AMODIT,, • Wspólne z zespołem dbanie o jakość dostarczanych rozwiązań",,"['C#', '.NET', 'SQL', 'Microsoft SQL Server', 'MySQL', 'HTML', 'CSS', 'React.js', 'JavaScript', 'jQuery', 'Handlebars', 'Bootstrap', 'Visual Studio', 'Azure DevOps', 'Git']",python,2023-12-07
18,Programista systemów wbudowanych - Embedded software developer,"https://www.pracuj.pl/praca/programista-systemow-wbudowanych-embedded-software-developer-nowy-konik-pow-minski-konikowa-10,oferta,1002986115",,,,"Szukamy doświadczonego Inżyniera - Programisty systemów wbudowanych, który dołączy do naszego zespołu w celu opracowywania oprogramowania do zaawansowanych urządzeń elektronicznych z dziedziny łączności satelitarnej. Osoba na tym stanowisku będzie...",,['C++'],python,2023-12-07
19,Specjalista/ka ds. infrastruktury IT i integracji systemów,"https://www.pracuj.pl/praca/specjalista-ka-ds-infrastruktury-it-i-integracji-systemow-poznan-jana-henryka-dabrowskiego-399,oferta,1003010942",,,,,,['JavaScript'],python,2023-12-07
20,Web Analyst,"https://www.pracuj.pl/praca/web-analyst-lodz-ogrodowa-8,oferta,1003024351",,,,,,[],python,2023-12-07
21,ServiceNow Developer,"https://www.pracuj.pl/praca/servicenow-developer-katowice,oferta,1002997348",,,,,,[],python,2023-12-07
22,Lead Full Stack .NET Developer,"https://www.pracuj.pl/praca/lead-full-stack-net-developer-warszawa-sienna-39,oferta,1003010912",,,,"As a primary contributor in enterprise systems development, you'll lead the way in crafting cutting-edge solutions across the front and back end, seamlessly integrating services and APIs. Beyond your passion for technology, your strong business...",,"['C#', '.NET', 'JavaScript', 'TypeScript', 'SQL', 'HTML', 'Angular']",python,2023-12-07
23,Senior Full Stack Engineer,"https://www.pracuj.pl/praca/senior-full-stack-engineer-katowice,oferta,1002997346",,,,,,[],python,2023-12-07
24,Fullstack Developer (Java & Angular),"https://www.pracuj.pl/praca/fullstack-developer-java-angular-wroclaw,oferta,1003006267",,,13 000–23 016 zł / mies. (zal. od umowy),"ASTEK Polska jest częścią międzynarodowej Grupy ASTEK. Specjalizujemy się w konsultingu IT oraz realizacji projektów informatycznych. Zatrudniamy doświadczonych specjalistów dla liderów z obszarów bankowości, ubezpieczeń, telekomunikacji, hi-tech,...",,"['Angular', 'Java', 'Spring Framework', 'JPA', 'TypeScript', 'CI/CD', 'SoapUI']",python,2023-12-07
25,Administrator IT,"https://www.pracuj.pl/praca/administrator-it-gdansk-nowy-swiat-36,oferta,1003024334",,,,,,"['Windows Server', 'Active Directory', 'Microsoft 365', 'hypervisor XEN', 'Ubiquiti']",python,2023-12-07
26,Developer Javascript,"https://www.pracuj.pl/praca/developer-javascript-lodz,oferta,1003024329",,,,,,"['JavaScript', 'SQL']",python,2023-12-07
27,Angular Engineer,"https://www.pracuj.pl/praca/angular-engineer-poznan-ignacego-paderewskiego-6,oferta,1002994578",,,70–140 zł netto (+ VAT) / godz.,If you are proficient in development of features in JavaScript (Angular) technologies and not scared of diving deep into international projects then this is a perfect opportunity for you. We are looking for Mid and Senior Angular Developer. Join...,,"['Angular', 'JavaScript', 'TypeScript', 'HTML', 'CSS']",python,2023-12-07
28,Developer,"https://www.pracuj.pl/praca/developer-warszawa-pulawska-2,oferta,1003010863",,,,,,"['Python', 'Git', 'HTML', 'JavaScript', 'CSS']",python,2023-12-07
29,Front-End Engineer for Cloud Services,"https://www.pracuj.pl/praca/front-end-engineer-for-cloud-services-warszawa-plac-europejski-1,oferta,1002989621",,,,"Our team is focused on backend related services, supporting best experience given by our mobile devices. Game Launcher, AR Emoji or Samsung Health - all these are under development by our team on daily basis. Our mission is to create efficient,...",,"['TypeScript', 'SCSS', 'React + Formik', 'Redux', 'Jest', 'Cypress']",python,2023-12-07
30,.NET Developer,"https://www.pracuj.pl/praca/net-developer-lodz-piotrkowska-157,oferta,1002997258",,,,"As our worker, you will join the community of over 400 experienced .NET Developers at Sii., , Our specialists have contributed to developing one of the most popular FinTech Payment Platforms, helped the Investment Banking community develop new...",,"['.NET', 'C#']",python,2023-12-07
31,Senior Front-End Engineer,"https://www.pracuj.pl/praca/senior-front-end-engineer-warszawa-plac-europejski-1,oferta,1002966726",,,,"The JavaScript team develops two parts of an integrated solution, used for content distribution to large format displays (LFDs). One part is working on a content creator web tool and other part develops web framework with components, which can be...",,"['Angular', 'React', 'Vue']",python,2023-12-07
32,Senior Backend Engineer for IoT Solutions,"https://www.pracuj.pl/praca/senior-backend-engineer-for-iot-solutions-warszawa-plac-europejski-1,oferta,1002966718",,,,"Samsung R&D Institute Poland, is looking for experienced IoT Senior Backend Engineer, for the team working on the development of Home IoT services based on Cloud architecture., , Our Team is dedicated to improving everyday lives by making objects...",,"['Java', 'Spring-Boot', 'Java Script', 'Node.js', 'Python', 'Lua', 'Groovy', 'RDBMS', 'Messaging System', 'Cache System (eg. Redis cache)', 'Google Cloud', 'AWS', 'Auth0 technology', 'REST APIs', 'OAuth 2.0', 'SOAP', 'Git', 'Jira', 'Confluence', 'Sumo Logic']",python,2023-12-07
33,JavaScript/TypeScript Developer Engineer,"https://www.pracuj.pl/praca/javascript-typescript-developer-engineer-warszawa-zlota-59,oferta,1002994536",,,,,,"['Amazon Web Services', 'NoSQL', 'JavaScript']",python,2023-12-07
34,Shopify App Developer,"https://www.pracuj.pl/praca/shopify-app-developer-warszawa,oferta,1003019795",,,150–170 zł netto (+ VAT) / godz.,,,"['Shopify', 'React.js', ""Shopify's Polaris"", 'jQuery', 'Node.js', 'JavaScript', 'TypeScript', 'Gulp', 'Grunt', 'webpack', 'Linux']",python,2023-12-07
35,,,,,,"We are currently looking for Senior React Native Developers., Readiness for frequent business trips to Saudi Arabia is a necessary condition. Flights and accommodation are included., As our worker, you will join the community of over 80...",,"['React Native', 'JavaScript', 'HTML', 'CSS', 'REST API', 'Redux', 'Git']",python,2023-12-07
36,Backend Developer (NodeJS),"https://www.pracuj.pl/praca/backend-developer-nodejs-gdynia,oferta,1003013591",,,100–130 zł netto (+ VAT) / godz.,,,"['Node.js', 'Kubernetes', 'JavaScript']",python,2023-12-07
37,Programista .NET,"https://www.pracuj.pl/praca/programista-net-poznan-dabrowskiego-29,oferta,1003003374",,,,,,"['C#', '.NET', 'SQL', '.NET Core', 'Oracle', 'PostgreSQL', 'NHibernate']",python,2023-12-07
38,Junior C# Developer,"https://www.pracuj.pl/praca/junior-c%23-developer-wroclaw-legnicka-55f,oferta,1002994721",,,,,,"['ASP.NET', 'C#', 'PostgreSQL', 'MS SQL']",python,2023-12-07
39,PHP Developer (Pharma),"https://www.pracuj.pl/praca/php-developer-pharma-warszawa-aleje-jerozolimskie-134,oferta,1002996983",,,,Projekt ma na celu rozwój systemu sprzedażowego w technologii PHP. Projekt prowadzony metodyką zwinną dla jednej z największych i najszybciej rozwijających się firm w branży farmaceutycznej.,,"['PHP', 'MariaDB', 'Vue.js', 'JavaScript', 'React.js', 'Git', 'Magento 1']",python,2023-12-07
40,Senior Software Developer (NodeJS + ReactJS) - AI / Innovative Solution,"https://www.pracuj.pl/praca/senior-software-developer-nodejs-%2b-reactjs-ai-innovative-solution-lodz-aleja-marsz-jozefa-pilsudskiego-24,oferta,1003024007",,,18 000–46 200 zł / mies. (zal. od umowy),"We are currently working with an Israeli start-up that is a pioneering developer tooling company, leveraging advanced real-world generative AI to elevate the coding experience for over a million developers worldwide. With a sharp focus on natural...",,"['TypeScript', 'Node.js', 'JavaScript', 'Redis', 'React.js']",python,2023-12-07
41,Senior Fullstack Developer,"https://www.pracuj.pl/praca/senior-fullstack-developer-warszawa-postepu-15,oferta,1002977295",,,130–180 zł netto (+ VAT) / godz.,,,"['TypeScript', 'Next.js', 'React', 'Nest.js', 'Node.js', 'PostgreSQL', 'AWS', 'Docker']",python,2023-12-07
42,Senior Next.js Developer,"https://www.pracuj.pl/praca/senior-next-js-developer-warszawa-postepu-15,oferta,1002977296",,,130–180 zł netto (+ VAT) / godz.,,,"['TypeScript', 'Next.js', 'React', 'Nest.js', 'Node.js', 'PostgreSQL', 'AWS', 'Docker', 'Vercel']",python,2023-12-07
43,Machine Learning Engineer,"https://www.pracuj.pl/praca/machine-learning-engineer-krakow-promienistych-1,oferta,1003023974",,,,,,"['R', 'Javascript', 'SQL', 'Phyton']",python,2023-12-07
44,"Software Engineer, JAVA","https://www.pracuj.pl/praca/software-engineer-java-warszawa-pulawska-182,oferta,1003023866",,,13 000–26 250 zł / mies. (zal. od umowy),"We actively do:, , Code reviews, Automated testing (unit, integration, e2e), Quality control: SonarQube, Checkmarx, FindBugs",,"['Java', 'Node.js', 'Spring Boot', 'Hibernate', 'React.js', 'Angular', 'Vue.js', 'Jenkins', 'TeamCity', 'AWS', 'GitLab', 'OpenShift', 'Docker', 'Elasticsearch']",python,2023-12-07
45,Front-End Developer,"https://www.pracuj.pl/praca/front-end-developer-krakow-karola-szymanowskiego-1,oferta,1003023861",,,,"Szukamy front-end developera z dobrą znajomością języka JavaScript, z min. 2 letnim doświadczeniem w komercyjnych projektach. Osoby, która posiada doświadczenie w tworzeniu aplikacji typu Single Page App (SPA) w oparciu o framework Angular.",,"['JavaScript', 'TypeScript', 'HTML5', 'CSS3', 'SASS', 'Angular 14+', 'RxJS', 'Git']",python,2023-12-07
