,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-remote,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
1,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-lower-silesian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
2,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-kuyavian-pomeranian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
3,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-lodz,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
4,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-lublin,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
5,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-lubusz,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
6,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-lesser-poland,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
7,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-masovian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
8,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-opole,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
9,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-subcarpathian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
10,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-podlaskie,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
11,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-pomeranian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
12,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-silesian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
13,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-holy-cross,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
14,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-warmian-masurian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
15,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-greater-poland,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
16,JavaScript Developer/Part-time,javascript-developer-part-time-avenga-west-pomeranian,Avenga,,21840.0 - 25200.0,,2023-11-24,JavaScript,javascript,2023-12-07
17,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--remote,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
18,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--budapest,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
19,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--bacs-kiskun,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
20,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--baranya,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
21,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--bekes,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
22,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--borsod-abauj-zemplen,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
23,Senior Full Stack Javascript Developer,senior-full-stack-javascript-developer-chat-media-technologies-ltd--csongrad,Chat Media Technologies Ltd.,,17070.0 - 22760.0,,2023-11-23,JavaScript,javascript,2023-12-07
