,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
1,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-wroclaw,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
2,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-gdansk,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
3,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-kuyavian-pomeranian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
4,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-lodz,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
5,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-lublin,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
6,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-lubusz,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
7,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-lesser-poland,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
8,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-masovian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
9,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-opole,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
10,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-subcarpathian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
11,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-podlaskie,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
12,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-silesian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
13,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-holy-cross,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
14,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-warmian-masurian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
15,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-greater-poland,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
16,Remote Senior Python Developer,remote-senior-python-developer-objectivity-part-of-accenture-west-pomeranian,Objectivity - part of Accenture,,15960.0 - 26040.0,,2023-10-31,Python,python,2023-11-27
17,Python Developer,python-developer-avenga-remote-20,Avenga,,19800.0 - 21800.0,,2023-11-16,Python,python,2023-11-27
18,Python Developer,python-developer-avenga-poznan-2,Avenga,,19800.0 - 21800.0,,2023-11-16,Python,python,2023-11-27
19,Python Developer,python-developer-avenga-wroclaw-8,Avenga,,19800.0 - 21800.0,,2023-11-16,Python,python,2023-11-27
20,Python Developer,python-developer-avenga-warszawa-4,Avenga,,19800.0 - 21800.0,,2023-11-16,Python,python,2023-11-27
21,Remote Senior Python Developer,remote-senior-python-developer-link-group,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
22,Remote Senior Python Developer,remote-senior-python-developer-link-group-warszawa,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
23,Remote Senior Python Developer,remote-senior-python-developer-link-group-lower-silesian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
24,Remote Senior Python Developer,remote-senior-python-developer-link-group-kuyavian-pomeranian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
25,Remote Senior Python Developer,remote-senior-python-developer-link-group-lodz,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
26,Remote Senior Python Developer,remote-senior-python-developer-link-group-lublin,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
27,Remote Senior Python Developer,remote-senior-python-developer-link-group-lubusz,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
28,Remote Senior Python Developer,remote-senior-python-developer-link-group-lesser-poland,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
29,Remote Senior Python Developer,remote-senior-python-developer-link-group-opole,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
30,Remote Senior Python Developer,remote-senior-python-developer-link-group-subcarpathian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
31,Remote Senior Python Developer,remote-senior-python-developer-link-group-podlaskie,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
32,Remote Senior Python Developer,remote-senior-python-developer-link-group-pomeranian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
33,Remote Senior Python Developer,remote-senior-python-developer-link-group-silesian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
34,Remote Senior Python Developer,remote-senior-python-developer-link-group-holy-cross,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
35,Remote Senior Python Developer,remote-senior-python-developer-link-group-warmian-masurian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
36,Remote Senior Python Developer,remote-senior-python-developer-link-group-greater-poland,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
37,Remote Senior Python Developer,remote-senior-python-developer-link-group-west-pomeranian,Link Group,,23520.0 - 28560.0,,2023-11-02,Python,python,2023-11-27
38,Senior Python Developer,senior-python-developer-link-group-remote-2,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
39,Senior Python Developer,senior-python-developer-link-group-poznan,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
40,Senior Python Developer,senior-python-developer-link-group-gdynia-1,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
41,Senior Python Developer,senior-python-developer-link-group-krakow-1,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
42,Senior Python Developer,senior-python-developer-link-group-gdansk,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
43,Senior Python Developer,senior-python-developer-link-group-wroclaw,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
44,Senior Python Developer,senior-python-developer-link-group-katowice,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
45,Senior Python Developer,senior-python-developer-link-group-kuyavian-pomeranian,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
46,Senior Python Developer,senior-python-developer-link-group-lodz,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
47,Senior Python Developer,senior-python-developer-link-group-lublin,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
48,Senior Python Developer,senior-python-developer-link-group-lubusz,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
49,Senior Python Developer,senior-python-developer-link-group-masovian,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
50,Senior Python Developer,senior-python-developer-link-group-opole,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
51,Senior Python Developer,senior-python-developer-link-group-subcarpathian,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
52,Senior Python Developer,senior-python-developer-link-group-podlaskie,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
53,Senior Python Developer,senior-python-developer-link-group-holy-cross,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
54,Senior Python Developer,senior-python-developer-link-group-warmian-masurian,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
55,Senior Python Developer,senior-python-developer-link-group-west-pomeranian,Link Group,,22000.0 - 25000.0,,2023-11-24,Python,python,2023-11-27
56,Django Python dev with Ethical Hacking experience,django-python-dev-with-ethical-hacking-experience-horalix-cairo,Horalix,,9942.0 - 15907.0,,2023-11-02,Python,python,2023-11-27
57,Senior Python Developer ,senior-python-developer-lingaro-remote-2,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
58,Senior Python Developer ,senior-python-developer-lingaro-warsaw-1,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
59,Senior Python Developer ,senior-python-developer-lingaro-lower-silesian,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
60,Senior Python Developer ,senior-python-developer-lingaro-kuyavian-pomeranian,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
61,Senior Python Developer ,senior-python-developer-lingaro-lodz,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
62,Senior Python Developer ,senior-python-developer-lingaro-lublin-1,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
63,Senior Python Developer ,senior-python-developer-lingaro-lubusz,Lingaro,,20160.0 - 26040.0,,2023-11-20,Python,python,2023-11-27
