,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior Python Developer,senior-python-developer-23knots-remote-1,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
1,Senior Python Developer,senior-python-developer-23knots-poznan,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
2,Senior Python Developer,senior-python-developer-23knots-lower-silesian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
3,Senior Python Developer,senior-python-developer-23knots-kuyavian-pomeranian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
4,Senior Python Developer,senior-python-developer-23knots-lodz,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
5,Senior Python Developer,senior-python-developer-23knots-lublin,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
6,Senior Python Developer,senior-python-developer-23knots-lubusz,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
7,Senior Python Developer,senior-python-developer-23knots-lesser-poland,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
8,Senior Python Developer,senior-python-developer-23knots-masovian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
9,Senior Python Developer,senior-python-developer-23knots-opole,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
10,Senior Python Developer,senior-python-developer-23knots-subcarpathian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
11,Senior Python Developer,senior-python-developer-23knots-podlaskie,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
12,Senior Python Developer,senior-python-developer-23knots-pomeranian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
13,Senior Python Developer,senior-python-developer-23knots-silesian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
14,Senior Python Developer,senior-python-developer-23knots-holy-cross,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
15,Senior Python Developer,senior-python-developer-23knots-warmian-masurian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
16,Senior Python Developer,senior-python-developer-23knots-west-pomeranian,23knots,,15000.0 - 19000.0,,2023-12-04,Python,python,2023-12-07
17,Python Automation Developer,python-automation-developer-onwelo-remote,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
18,Python Automation Developer,python-automation-developer-onwelo-katowice,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
19,Python Automation Developer,python-automation-developer-onwelo-krakow,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
20,Python Automation Developer,python-automation-developer-onwelo-warszawa,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
21,Python Automation Developer,python-automation-developer-onwelo-lublin,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
22,Python Automation Developer,python-automation-developer-onwelo-lodz,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
23,Python Automation Developer,python-automation-developer-onwelo-lower-silesian,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
24,Python Automation Developer,python-automation-developer-onwelo-kuyavian-pomeranian,Onwelo S.A.,,15000.0 - 21000.0,,2023-12-07,Python,python,2023-12-07
