,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Frontend Angular Developer with German,"https://www.pracuj.pl/praca/frontend-angular-developer-with-german-poznan-krysiewicza-9,oferta,1002986609",,,18 000–26 800 zł netto (+ VAT) / mies.,"For our Client - German software company, we are looking for a qualified Angular Developer (Mid or Senior) with good knowledge of German and English to join our IT team.",,"['Angular', 'TypeScript', 'C#', '.NET', 'SQL']",python,2023-12-02
1,Lead Full Stack Engineer,"https://www.pracuj.pl/praca/lead-full-stack-engineer-warszawa,oferta,1003004276",,,180–230 zł / godz. (zal. od umowy),,,"['Java', 'Spring Framework', 'Angular', 'PostgreSQL', 'MySQL', 'Hibernate']",python,2023-12-02
2,,,,,14 000–21 000 zł / mies. (zal. od umowy),"Currently, we’re looking for Senior Developers to join our team and drive modern software delivery, release quality code, and collaborate across forward-thinking teams. We value soft skills as well as coding chops, and all our projects take an...",,"['Symfony', 'PHP', 'React.js', 'Vue.js', 'Git', 'Docker', 'CSS', 'HTML', 'MySQL']",python,2023-12-02
3,Software Development Manager - Frontend,"https://www.pracuj.pl/praca/software-development-manager-frontend-gdansk-aleja-grunwaldzka-472d,oferta,1002973242",,,,Software Development Manager will lead a team of frontend developers in developing Next Generation of ecommerce frontend and also support existing frontend ecommerce to help the business realize their upcoming goals. You will organize the skill...,,"['JavaScript', 'Microsoft Azure']",python,2023-12-02
4,,,,,,"We are looking for experienced developers and architects, who want to participate in further growth of Microsoft Business Apps practice within Advanced Accenture Technology Centers in Poland., As a member of our team, you will work in projects...",,['Microsoft Dynamics'],python,2023-12-02
5,Drupal Developer,"https://www.pracuj.pl/praca/drupal-developer-wroclaw-stacyjna-1,oferta,1002972458",,,11 400–20 200 zł netto (+ VAT) / mies.,"Poszukujemy osób do stałej współpracy (nie na projekt) w pełnym wymiarze godzin, które uzupełnią Nasz Zespół Specjalistów.",,"['HTML', 'CSS', 'jQuery', 'SQL']",python,2023-12-02
6,Programista,"https://www.pracuj.pl/praca/programista-rekowo-gorne-pow-pucki-gm-puck-nowa-8,oferta,1002993316",,,5 000–20 000 zł / mies. (zal. od umowy),,,"['HTML', 'CSS', 'SCSS', 'JavaScript']",python,2023-12-02
7,,,,,,"Poszukujemy doświadczonych Fullstack Developerów, którzy będą odpowiedzialni za budowanie i utrzymanie aplikacji dla sektora publicznego opartych na technologii .NET oraz Vue.js. Kandydat powinien posiadać głęboką wiedzę zarówno od strony backendu...",,"['Vue.js', '.NET', 'Visual Studio', 'C#']",python,2023-12-02
8,Java Developer,"https://www.pracuj.pl/praca/java-developer-krakow,oferta,1003004415",,,100–130 zł netto (+ VAT) / godz.,,,"['Java', 'Spring Boot', 'Git', 'MongoDB', 'Ansible', 'Terraform', 'Kubernetes', 'Jenkins', 'Maven', 'Jira', 'Confluence', 'Oracle']",python,2023-12-02
9,Java Developer with Vue.js,"https://www.pracuj.pl/praca/java-developer-with-vue-js-krakow-henryka-kamienskiego-45,oferta,1003014466",,,120–160 zł netto (+ VAT) / godz.,,,"['Java', 'Spring Boot', 'Vue.js', 'Hibernate', 'Kubernetes', 'Oracle']",python,2023-12-02
