,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Senior UX Developer,"https://www.pracuj.pl/praca/senior-ux-developer-katowice,oferta,1002997441",,,,,,[],python,2023-12-07
1,Front-end Developer – Vue.js,"https://www.pracuj.pl/praca/front-end-developer-vue-js-poznan,oferta,1003021926",,,,"Inicjatywa, demokracja i wspólne szukanie rozwiązań - to wartości, które pozwalają nam budować stabilny i nierotujący zespół IT. Działamy zwinnie, choć nie nazywamy tego w oparciu o konkretną metodologię - wykuwamy własną drogę, którą ciągle...",,"['HTML', 'CSS', 'JavaScript', 'TypeScript', 'Vue.js', 'JsonSchema', 'Git']",python,2023-12-07
2,Front-End Engineer for Cloud Services,"https://www.pracuj.pl/praca/front-end-engineer-for-cloud-services-warszawa-plac-europejski-1,oferta,1002989621",,,,"Our team is focused on backend related services, supporting best experience given by our mobile devices. Game Launcher, AR Emoji or Samsung Health - all these are under development by our team on daily basis. Our mission is to create efficient,...",,"['TypeScript', 'SCSS', 'React + Formik', 'Redux', 'Jest', 'Cypress']",python,2023-12-07
3,Senior Front-End Engineer,"https://www.pracuj.pl/praca/senior-front-end-engineer-warszawa-plac-europejski-1,oferta,1002966726",,,,"The JavaScript team develops two parts of an integrated solution, used for content distribution to large format displays (LFDs). One part is working on a content creator web tool and other part develops web framework with components, which can be...",,"['Angular', 'React', 'Vue']",python,2023-12-07
4,PHP Developer (Pharma),"https://www.pracuj.pl/praca/php-developer-pharma-warszawa-aleje-jerozolimskie-134,oferta,1002996983",,,,Projekt ma na celu rozwój systemu sprzedażowego w technologii PHP. Projekt prowadzony metodyką zwinną dla jednej z największych i najszybciej rozwijających się firm w branży farmaceutycznej.,,"['PHP', 'MariaDB', 'Vue.js', 'JavaScript', 'React.js', 'Git', 'Magento 1']",python,2023-12-07
5,"Software Engineer, JAVA","https://www.pracuj.pl/praca/software-engineer-java-warszawa-pulawska-182,oferta,1003023866",,,13 000–26 250 zł / mies. (zal. od umowy),"We actively do:, , Code reviews, Automated testing (unit, integration, e2e), Quality control: SonarQube, Checkmarx, FindBugs",,"['Java', 'Node.js', 'Spring Boot', 'Hibernate', 'React.js', 'Angular', 'Vue.js', 'Jenkins', 'TeamCity', 'AWS', 'GitLab', 'OpenShift', 'Docker', 'Elasticsearch']",python,2023-12-07
6,Backend Engineer,"https://www.pracuj.pl/praca/backend-engineer-krakow-krupnicza-5,oferta,1002977108",,,12 400–25 900 zł netto (+ VAT) / mies.,,,"['Ruby on Rails', 'Python', 'Kubernetes', 'AWS', 'Docker', 'SQL', 'Ruby']",python,2023-12-07
7,Back-end Developer - Tech Lead,"https://www.pracuj.pl/praca/back-end-developer-tech-lead-kielce-zagnanska-78a,oferta,1003002996",,,,,,"['PHP', 'Laravel', 'Docker', 'MySQL', 'MariaDB', 'Git']",python,2023-12-07
8,PHP Magento 2 Developer,"https://www.pracuj.pl/praca/php-magento-2-developer-czestochowa-waly-generala-jozefa-dwernickiego-117,oferta,1003018763",,,5 000–12 000 zł brutto / mies.,We create e-commerce solutions for leading companies in Poland.,,"['PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Git', 'Vue.js', 'Magento 2']",python,2023-12-07
9,Programista,"https://www.pracuj.pl/praca/programista-rekowo-gorne-pow-pucki-gm-puck-nowa-8,oferta,1002993316",,,5 000–20 000 zł / mies. (zal. od umowy),,,"['HTML', 'CSS', 'SCSS', 'JavaScript']",python,2023-12-07
10,Nodejs Developer Fullstack,"https://www.pracuj.pl/praca/nodejs-developer-fullstack-warszawa-karola-szajnochy-5,oferta,1002990963",,,25 000–26 000 zł netto (+ VAT) / mies.,"Integracja aplikacji webowej (backend - 80% + frontend: 20%), Wdrożenie aplikacji webowej - nie utrzymanie / nie rozwój, Projekt długoterminowy, stabilny, Projekt międzynarodowy, zespół głownie Polacy",,"['Node.js', 'JavaScript', 'TypeScript', 'Vue.js', 'AWS', 'RestApi', 'Docker', 'Jenkins']",python,2023-12-07
11,Full Stack PHP Developer,"https://www.pracuj.pl/praca/full-stack-php-developer-szczecin-jagiellonska-67,oferta,1002995090",,,10 000–19 000 zł / mies. (zal. od umowy),,,"['PHP', 'Symfony', 'MySQL', 'MariaDB', 'HTML', 'CSS', 'JavaScript', 'jQuery', 'Git', 'Docker']",python,2023-12-07
12,Frontend Angular Developer with German,"https://www.pracuj.pl/praca/frontend-angular-developer-with-german-poznan-krysiewicza-9,oferta,1002986609",,,18 000–26 800 zł netto (+ VAT) / mies.,"For our Client - German software company, we are looking for a qualified Angular Developer (Mid or Senior) with good knowledge of German and English to join our IT team.",,"['Angular', 'TypeScript', 'C#', '.NET', 'SQL']",python,2023-12-07
13,Java Developer with Vue.js,"https://www.pracuj.pl/praca/java-developer-with-vue-js-krakow-henryka-kamienskiego-45,oferta,1003014466",,,120–160 zł netto (+ VAT) / godz.,,,"['Java', 'Spring Boot', 'Vue.js', 'Hibernate', 'Kubernetes', 'Oracle']",python,2023-12-07
14,Front-End Developer,"https://www.pracuj.pl/praca/front-end-developer-bialystok-henryka-sienkiewicza-1-1,oferta,1003022350",,,,,,"['HTML', 'CSS', 'JavaScript', 'PHP']",python,2023-12-07
