,title,link,company,location,salary,description,date_added,skills,search_term,date_searched
0,Head of Product,head-of-product-billingo-technologies-zrt--budapest,Billingo Technologies Zrt.,,13656.0 - 21622.0,,2023-12-01,,vue,2023-12-07
1,Technical Business Analyst,technical-business-analyst-devire-krakow,Devire,,21840.0 - 25200.0,,2023-12-01,,vue,2023-12-07
2,Senior UX Designer ,senior-ux-designer-intellias-krakow,Intellias,,18000.0 - 22000.0,,2023-11-28,,vue,2023-12-07
3,IT System Analyst (Mid/Senior),it-system-analyst-mid-senior-talentspot-karrier-kft--budapest,TalentSpot Karrier Kft. ,,12518.0 - 15932.0,,2023-11-14,,vue,2023-12-07
4,Business Analyst for Analytics and Reporting,business-analyst-for-analytics-and-reporting-sni-remote,SNI,,15000.0 - 19000.0,,2023-11-24,,vue,2023-12-07
5,Business Analyst for Analytics and Reporting,business-analyst-for-analytics-and-reporting-sni-lodz,SNI,,15000.0 - 19000.0,,2023-11-24,,vue,2023-12-07
6,Scientific Business Analyst,scientific-business-analyst-avenga-remote,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
7,Scientific Business Analyst,scientific-business-analyst-avenga-lower-silesian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
8,Scientific Business Analyst,scientific-business-analyst-avenga-kuyavian-pomeranian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
9,Scientific Business Analyst,scientific-business-analyst-avenga-lodz,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
10,Scientific Business Analyst,scientific-business-analyst-avenga-lublin,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
11,Scientific Business Analyst,scientific-business-analyst-avenga-lubusz,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
12,Scientific Business Analyst,scientific-business-analyst-avenga-lesser-poland,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
13,Scientific Business Analyst,scientific-business-analyst-avenga-masovian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
14,Scientific Business Analyst,scientific-business-analyst-avenga-opole,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
15,Scientific Business Analyst,scientific-business-analyst-avenga-subcarpathian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
16,Scientific Business Analyst,scientific-business-analyst-avenga-podlaskie,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
17,Scientific Business Analyst,scientific-business-analyst-avenga-pomeranian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
18,Scientific Business Analyst,scientific-business-analyst-avenga-silesian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
19,Scientific Business Analyst,scientific-business-analyst-avenga-holy-cross,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
20,Scientific Business Analyst,scientific-business-analyst-avenga-warmian-masurian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
21,Scientific Business Analyst,scientific-business-analyst-avenga-greater-poland,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
22,Scientific Business Analyst,scientific-business-analyst-avenga-west-pomeranian,AVENGA,,20160.0 - 22680.0,,2023-11-21,,vue,2023-12-07
23,Engineering Manager,engineering-manager-knowde-remote-1,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
24,Engineering Manager,engineering-manager-knowde-rzeszow-4,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
25,Engineering Manager,engineering-manager-knowde-lodz-1,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
26,Engineering Manager,engineering-manager-knowde-bialystok-1,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
27,Engineering Manager,engineering-manager-knowde-lower-silesian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
28,Engineering Manager,engineering-manager-knowde-kuyavian-pomeranian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
29,Engineering Manager,engineering-manager-knowde-lublin,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
30,Engineering Manager,engineering-manager-knowde-lubusz,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
31,Engineering Manager,engineering-manager-knowde-lesser-poland,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
32,Engineering Manager,engineering-manager-knowde-masovian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
33,Engineering Manager,engineering-manager-knowde-opole,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
34,Engineering Manager,engineering-manager-knowde-pomeranian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
35,Engineering Manager,engineering-manager-knowde-silesian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
36,Engineering Manager,engineering-manager-knowde-holy-cross,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
37,Engineering Manager,engineering-manager-knowde-warmian-masurian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
38,Engineering Manager,engineering-manager-knowde-greater-poland,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
39,Engineering Manager,engineering-manager-knowde-west-pomeranian,Knowde,,25000.0 - 40000.0,,2023-11-16,,vue,2023-12-07
40,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-remote,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
41,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-lower-silesian,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
42,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-kuyavian-pomeranian,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
43,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-lodz,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
44,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-lublin,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
45,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-lubusz,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
46,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-lesser-poland,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
47,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-masovian,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
48,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-opole,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
49,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-subcarpathian,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
50,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-podlaskie,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
51,Robotics Process Automation Business Analyst,robotics-process-automation-business-analyst-fujitsu-technology-solutions-pomeranian,Fujitsu Technology Solutions Sp. z o.o.,,13776.0 - 19320.0,,2023-11-10,,vue,2023-12-07
