,title,price,used,city,date,shipping,link
0,Lego Zestaw Nr 21328 Seinfeld,250,True,"Warszawa, Targówek",02 listopada 2023,False,olx.pl/d/oferta/lego-zestaw-nr-21328-seinfeld-CID88-IDTxpeV.html
1,Lego 21328 Seinfeld,240,False,"Warszawa, Mokotów",10 listopada 2023,False,olx.pl/d/oferta/lego-21328-seinfeld-CID88-IDU4JJg.html
2,Lego Seinfeld 21328,240,True,"Warszawa, Wola",16 listopada 2023,True,olx.pl/d/oferta/lego-seinfeld-21328-CID4042-IDXoAWk.html
3,Funko Pop Seinfeld 1096 Jerry #3,35,False,Brzana,16 listopada 2023,True,olx.pl/d/oferta/funko-pop-seinfeld-1096-jerry-3-CID88-IDXp6Xg.html
4,Funko Pop Seinfeld 1094 George (Holistic) #2,40,False,Brzana,16 listopada 2023,True,olx.pl/d/oferta/funko-pop-seinfeld-1094-george-holistic-2-CID88-IDXp6VK.html
5,Funko Pop Seinfeld 1094 George (Holistic) #1,40,False,Brzana,16 listopada 2023,True,olx.pl/d/oferta/funko-pop-seinfeld-1094-george-holistic-1-CID88-IDXp6Vg.html
6,Funko Pop Seinfeld 1096 Jerry #3,35,False,Brzana,16 listopada 2023,True,olx.pl/d/oferta/funko-pop-seinfeld-1096-jerry-3-CID88-IDXp794.html
7,Funko Pop Seinfeld 1096 Jerry #2,35,False,Brzana,16 listopada 2023,True,olx.pl/d/oferta/funko-pop-seinfeld-1096-jerry-2-CID88-IDXp6X1.html
8,LEGO Ideas 21328 Seinfeld,250,False,"Warszawa, Wola",03 listopada 2023,False,olx.pl/d/oferta/lego-ideas-21328-seinfeld-CID88-IDUtlHa.html
9,Lego 21328 Seinfeld OKAZJA!,220,False,Orzech,31 października 2023,False,olx.pl/d/oferta/lego-21328-seinfeld-okazja-CID88-IDX8oFu.html
10,Seinfeld DVD wszystkie sezony,380,True,"Warszawa, Żoliborz",12 listopada 2023,True,olx.pl/d/oferta/seinfeld-dvd-wszystkie-sezony-CID751-IDXkUQF.html
11,Lego Ideas 21328 Seinfeld,350,False,"Kraków, Podgórze",11 listopada 2023,True,olx.pl/d/oferta/lego-ideas-21328-seinfeld-CID88-IDXjNVi.html
12,Nowe LEGO 21328 Ideas Seinfeld,320,False,"Białystok, Nowe Miasto",17 listopada 2023,True,olx.pl/d/oferta/nowe-lego-21328-ideas-seinfeld-CID88-IDU9LPh.html
13,Lego Seinfeld 21328,280,False,Ozimek,12 listopada 2023,True,olx.pl/d/oferta/lego-seinfeld-21328-CID88-IDTV1OS.html
14,LEGO 21328 Ideas - Seinfeld nowy MISB,299,False,"Poznań, Naramowice",11 listopada 2023,False,olx.pl/d/oferta/lego-21328-ideas-seinfeld-nowy-misb-CID88-IDXj31s.html
15,"DJ Seinfeld – Ruff Hysteria , natural 009",30,True,"Poznań, Górczyn",24 października 2023,False,olx.pl/d/oferta/dj-seinfeld-ruff-hysteria-natural-009-CID751-IDSKflg.html
16,LEGO Ideas 21328 Seinfeld,285,False,Nowy Gierałtów,20 października 2023,True,olx.pl/d/oferta/lego-ideas-21328-seinfeld-CID4042-IDShvUj.html
17,Ideas - Seinfeld 21328 Lego,300,False,"Wrocław, Krzyki",12 listopada 2023,False,olx.pl/d/oferta/ideas-seinfeld-21328-lego-CID88-IDXkJfB.html
18,"DJ Seinfeld – Sunrise
Endotherm – ENDOS001",30,True,"Poznań, Górczyn",17 listopada 2023,False,olx.pl/d/oferta/dj-seinfeld-sunriseendotherm-endos001-CID751-IDSLTQZ.html
19,LEGO Technic 42126 Ford Raptor,570,False,"Kraków, Podgórze",17 listopada 2023,True,olx.pl/d/oferta/lego-technic-42126-ford-raptor-CID88-IDWVClv.html
